IEM	Gene	Gene_Recon	met_Human-GEM	met_Human2	met_Human1	met_Recon3D_301	In_Vivo
HADHA-related Trifunctional protein subunit alpha deficiency 	ENSG00000084754	3030.1	MAM03923	MAM03923	sebacid	sebacid	increase
HADHA-related Trifunctional protein subunit alpha deficiency 	ENSG00000084754	3030.1	MAM02579	MAM02579	m02579	nh4	increase
HADHB-related Isolated deficiency of long-chain 3-ketoacyl CoA thiolase 	ENSG00000138029	3032.1	MAM03923	MAM03923	sebacid	sebacid	increase
ACADS-related Short-chain acyl CoA dehydrogenase deficiency 	ENSG00000122971	35.1	MAM02635	MAM02635	m02635	c4crn	increase
ACADS-related Short-chain acyl CoA dehydrogenase deficiency 	ENSG00000122971	35.1	MAM01965	MAM01965	m01965	glc_D	decrease
ETFA-related Electron transfer flavoprotein subunit deficiency 	ENSG00000140374	2108.1	MAM03923	MAM03923	sebacid	sebacid	increase
ETFDH-related Multiple acyl-CoA dehydrogenase deficiency 	ENSG00000171503	2110.1	MAM03923	MAM03923	sebacid	sebacid	increase
AHCY-related S-adenosylhomocysteine hydrolase deficiency 	ENSG00000101444	191.1	MAM02877	MAM02877	m02877	amet	increase
SLC17A5-related Sialin deficiency (severe) 	ENSG00000119899	26503.1	MAM02543	MAM02543	m02543	acnam	increase
ACAT1-related Mitochondrial acetoacetyl-CoA thiolase deficiency 	ENSG00000075239	38.1	MAM02579	MAM02579	m02579	nh4	increase
ACAT1-related Mitochondrial acetoacetyl-CoA thiolase deficiency 	ENSG00000075239	38.1	MAM02348	MAM02348	m02348	crn	decrease
GALC-related Beta-galactosylceramidase deficiency 	ENSG00000054983	2581.1	MAM02658	MAM02658	m02658	orn	increase
SUOX-related Isolated sulfite oxidase deficiency 	ENSG00000139531	6821.1	MAM03933	MAM03933	slfcys	slfcys	increase
SUOX-related Isolated sulfite oxidase deficiency 	ENSG00000139531	6821.1	MAM02991	MAM02991	m02991	tsul	increase
MTR-related Methionine synthase deficiency 	ENSG00000116984	4548.1	MAM02133	MAM02133	m02133	hcys_L	increase
MTRR-related Methionine synthase reductase deficiency-cblE 	ENSG00000124275	4552.1	MAM02133	MAM02133	m02133	hcys_L	increase
GLDC-related Nonketotic hyperglycinemia due to glycine decarboxylase deficiency 	ENSG00000178445	2731.1	MAM01986	MAM01986	m01986	gly	increase
ABAT-related GABA transaminase deficiency 	ENSG00000183044	"18.1, 18.2"	MAM01383	MAM01383	m01383	ala_B	increase
LCAT-related Familial lecithin cholesterol acyl transferase deficiency 	ENSG00000213398	3931.1	MAM01450	MAM01450	m01450	chsterol	increase
SLC19A3-related Thiamine transporter 2 deficiency 	ENSG00000135917	80704.1	MAM02982	MAM02982	m02982	thm	decrease
ACAD9-related Acyl-CoA Dehydrogenase 9 deficiency 	ENSG00000177646	28976.1	MAM03923	MAM03923	sebacid	sebacid	increase
ACAD9-related Acyl-CoA Dehydrogenase 9 deficiency 	ENSG00000177646	28976.1	MAM02579	MAM02579	m02579	nh4	increase
UROC1-related Urocanase deficiency 	ENSG00000159650	131669.1	MAM03124	MAM03124	m03124	urcan	increase
FTCD-related Formimidoyltransferase cyclodeaminase deficiency 	ENSG00000160282	"10841.1, 10841.2"	MAM02574	MAM02574	m02574	forglu	increase
GALT-related Galactose-1-phosphate uridyltransferase deficiency (CDG) 	ENSG00000213930	"2592.1, 2592.3, 2592.2"	MAM01909	MAM01909	m01909	galt	increase
GALK1-related Galactokinase deficiency (CDG) 	ENSG00000108479	2584.1	MAM01909	MAM01909	m01909	galt	increase
SLC5A2-related Sodium-glucose cotransporter 2 deficiency 	ENSG00000140675	6524.1	MAM01965	MAM01965	m01965	glc_D	increase
