Row	AdultMale_Adipocytes	ElderlyMale_Adipocytes	AdultFemale_Adipocytes	ElderlyFemale_Adipocytes	AdultMale_Agland	ElderlyMale_Agland	AdultFemale_Agland	ElderlyFemale_Agland	AdultMale_Brain	ElderlyMale_Brain	AdultFemale_Brain	ElderlyFemale_Brain	AdultMale_Colon	ElderlyMale_Colon	AdultFemale_Colon	ElderlyFemale_Colon	AdultMale_Heart	ElderlyMale_Heart	AdultFemale_Heart	ElderlyFemale_Heart	AdultMale_Kidney	ElderlyMale_Kidney	AdultFemale_Kidney	ElderlyFemale_Kidney	AdultMale_Liver	ElderlyMale_Liver	AdultFemale_Liver	ElderlyFemale_Liver	AdultMale_Lung	ElderlyMale_Lung	AdultFemale_Lung	ElderlyFemale_Lung	AdultMale_Muscle	ElderlyMale_Muscle	AdultFemale_Muscle	ElderlyFemale_Muscle	AdultMale_Pancreas	ElderlyMale_Pancreas	AdultFemale_Pancreas	ElderlyFemale_Pancreas	AdultMale_Scord	ElderlyMale_Scord	AdultFemale_Scord	ElderlyFemale_Scord	AdultMale_sIEC	ElderlyMale_sIEC	AdultFemale_sIEC	ElderlyFemale_sIEC	AdultMale_Skin	ElderlyMale_Skin	AdultFemale_Skin	ElderlyFemale_Skin	AdultMale_Spleen	ElderlyMale_Spleen	AdultFemale_Spleen	ElderlyFemale_Spleen	AdultMale_Stomach	ElderlyMale_Stomach	AdultFemale_Stomach	ElderlyFemale_Stomach	AdultMale_Thyroidgland	ElderlyMale_Thyroidgland	AdultFemale_Thyroidgland	ElderlyFemale_Thyroidgland	AdultMale_Urinarybladder	ElderlyMale_Urinarybladder	AdultFemale_Urinarybladder	ElderlyFemale_Urinarybladder
Glycosphingolipid metabolism	14.560770156438	14.560770156438	14.560770156438	14.560770156438	6.37785800240674	6.37785800240674	6.37785800240674	6.37785800240674	30.9265944645006	-1.80505415162455	22.7436823104693	-1.80505415162455	-9.98796630565584	-9.98796630565584	-9.98796630565584	-18.1708784596871	-26.3537906137184	-18.1708784596871	-26.3537906137184	-26.3537906137184	6.37785800240674	-18.1708784596871	-26.3537906137184	47.2924187725632	-26.3537906137184	-26.3537906137184	-26.3537906137184	-26.3537906137184	6.37785800240674	14.560770156438	14.560770156438	14.560770156438	-26.3537906137184	-26.3537906137184	-26.3537906137184	-26.3537906137184	-26.3537906137184	-26.3537906137184	-26.3537906137184	-26.3537906137184	47.2924187725632	47.2924187725632	47.2924187725632	39.1095066185319	30.9265944645006	6.37785800240674	30.9265944645006	39.1095066185319	-18.1708784596871	-18.1708784596871	-18.1708784596871	6.37785800240674	6.37785800240674	14.560770156438	14.560770156438	6.37785800240674	6.37785800240674	-18.1708784596871	-18.1708784596871	-26.3537906137184	14.560770156438	6.37785800240674	6.37785800240674	6.37785800240674	14.560770156438	6.37785800240674	14.560770156438	-26.3537906137184
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	-100	655.555555555556	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	615.789473684211	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	695.321637426901	695.321637426901	695.321637426901	695.321637426901	655.555555555556	655.555555555556	536.25730994152	-100
Heme degradation	27.1028037383178	27.1028037383178	27.1028037383178	27.1028037383178	27.1028037383178	27.1028037383178	27.1028037383178	27.1028037383178	-36.4485981308411	-36.4485981308411	-36.4485981308411	-36.4485981308411	27.1028037383178	27.1028037383178	27.1028037383178	27.1028037383178	-36.4485981308411	-36.4485981308411	-36.4485981308411	-36.4485981308411	-36.4485981308411	-36.4485981308411	-36.4485981308411	27.1028037383178	-36.4485981308411	-36.4485981308411	-36.4485981308411	-36.4485981308411	27.1028037383178	27.1028037383178	27.1028037383178	27.1028037383178	27.1028037383178	27.1028037383178	27.1028037383178	27.1028037383178	-100	-100	-100	-100	-36.4485981308411	-36.4485981308411	-36.4485981308411	-36.4485981308411	27.1028037383178	-36.4485981308411	27.1028037383178	-36.4485981308411	27.1028037383178	27.1028037383178	27.1028037383178	27.1028037383178	27.1028037383178	27.1028037383178	27.1028037383178	27.1028037383178	27.1028037383178	27.1028037383178	27.1028037383178	27.1028037383178	27.1028037383178	27.1028037383178	27.1028037383178	90.6542056074766	27.1028037383178	-36.4485981308411	27.1028037383178	27.1028037383178
Heme synthesis	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-51.0791366906475	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-51.0791366906475	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	46.7625899280576	46.7625899280576	46.7625899280576	46.7625899280576	-2.15827338129496	-2.15827338129496	46.7625899280576	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496	-2.15827338129496
Heparan sulfate degradation	31.7829457364341	31.7829457364341	31.7829457364341	31.7829457364341	31.7829457364341	31.7829457364341	31.7829457364341	31.7829457364341	-86.8217054263566	-86.8217054263566	-86.8217054263566	-86.8217054263566	31.7829457364341	31.7829457364341	31.7829457364341	31.7829457364341	-86.8217054263566	-86.8217054263566	-86.8217054263566	-86.8217054263566	31.7829457364341	31.7829457364341	31.7829457364341	31.7829457364341	-86.8217054263566	-86.8217054263566	31.7829457364341	-86.8217054263566	31.7829457364341	31.7829457364341	31.7829457364341	31.7829457364341	-100	-100	-86.8217054263566	-86.8217054263566	31.7829457364341	31.7829457364341	31.7829457364341	31.7829457364341	-86.8217054263566	31.7829457364341	-86.8217054263566	-86.8217054263566	31.7829457364341	31.7829457364341	31.7829457364341	31.7829457364341	31.7829457364341	31.7829457364341	31.7829457364341	31.7829457364341	31.7829457364341	31.7829457364341	31.7829457364341	31.7829457364341	31.7829457364341	31.7829457364341	31.7829457364341	31.7829457364341	31.7829457364341	31.7829457364341	31.7829457364341	31.7829457364341	31.7829457364341	31.7829457364341	31.7829457364341	31.7829457364341
Histidine metabolism	12.8630705394191	26.9709543568465	12.8630705394191	12.8630705394191	-1.24481327800829	12.8630705394191	-1.24481327800829	-1.24481327800829	-43.5684647302905	-43.5684647302905	-43.5684647302905	-43.5684647302905	12.8630705394191	12.8630705394191	12.8630705394191	12.8630705394191	-57.6763485477178	-43.5684647302905	-15.3526970954357	-57.6763485477178	41.0788381742739	41.0788381742739	-1.24481327800829	41.0788381742739	26.9709543568465	26.9709543568465	26.9709543568465	26.9709543568465	12.8630705394191	26.9709543568465	12.8630705394191	26.9709543568465	-1.24481327800829	-29.4605809128631	-1.24481327800829	-1.24481327800829	-57.6763485477178	-57.6763485477178	-57.6763485477178	-57.6763485477178	-43.5684647302905	-43.5684647302905	-43.5684647302905	-43.5684647302905	12.8630705394191	12.8630705394191	26.9709543568465	41.0788381742739	12.8630705394191	12.8630705394191	12.8630705394191	12.8630705394191	26.9709543568465	12.8630705394191	26.9709543568465	41.0788381742739	26.9709543568465	12.8630705394191	26.9709543568465	41.0788381742739	-15.3526970954357	-15.3526970954357	-15.3526970954357	-15.3526970954357	26.9709543568465	12.8630705394191	12.8630705394191	-1.24481327800829
Inositol phosphate metabolism	9.5512082853855	7.59493670886076	5.63866513233602	19.3325661680092	19.3325661680092	11.5074798619102	11.5074798619102	11.5074798619102	5.63866513233602	-17.8365937859609	3.68239355581128	3.68239355581128	13.463751438435	9.5512082853855	15.4200230149597	15.4200230149597	-27.6179516685846	-19.7928653624856	-21.7491369390104	-27.6179516685846	-0.230149597238204	-21.7491369390104	-27.6179516685846	19.3325661680092	-41.3118527042578	-35.4430379746835	-4.14269275028769	-31.5304948216341	21.2888377445339	21.2888377445339	21.2888377445339	21.2888377445339	-27.6179516685846	-31.5304948216341	-25.6616800920598	-8.05523590333717	-60.8745684695052	-51.0932105868815	-64.7871116225547	-39.355581127733	19.3325661680092	-13.9240506329114	-39.355581127733	-19.7928653624856	15.4200230149597	9.5512082853855	19.3325661680092	-0.230149597238204	15.4200230149597	21.2888377445339	13.463751438435	23.2451093210587	19.3325661680092	19.3325661680092	19.3325661680092	19.3325661680092	3.68239355581128	-4.14269275028769	3.68239355581128	3.68239355581128	27.1576524741082	27.1576524741082	25.2013808975834	27.1576524741082	13.463751438435	29.1139240506329	15.4200230149597	5.63866513233602
Isolated	19.2982456140351	19.2982456140351	19.2982456140351	19.2982456140351	-8.23211875843454	-8.23211875843454	-8.23211875843454	-8.23211875843454	-8.23211875843454	-26.5856950067476	-8.23211875843454	-8.23211875843454	0.944669365722002	0.944669365722002	0.944669365722002	0.944669365722002	10.1214574898785	-8.23211875843454	10.1214574898785	-8.23211875843454	-8.23211875843454	-26.5856950067476	-26.5856950067476	0.944669365722002	-26.5856950067476	-17.4089068825911	-8.23211875843454	-17.4089068825911	19.2982456140351	0.944669365722002	37.6518218623482	0.944669365722002	-8.23211875843454	-8.23211875843454	-8.23211875843454	-8.23211875843454	-35.7624831309042	-35.7624831309042	-35.7624831309042	-35.7624831309042	-8.23211875843454	-8.23211875843454	-8.23211875843454	-8.23211875843454	19.2982456140351	19.2982456140351	19.2982456140351	19.2982456140351	10.1214574898785	10.1214574898785	10.1214574898785	10.1214574898785	10.1214574898785	10.1214574898785	10.1214574898785	10.1214574898785	0.944669365722002	0.944669365722002	0.944669365722002	0.944669365722002	10.1214574898785	10.1214574898785	10.1214574898785	10.1214574898785	37.6518218623482	19.2982456140351	19.2982456140351	0.944669365722002
Keratan sulfate biosynthesis	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	-60.1491742141716	-60.1491742141716	-100	-60.1491742141716	-32.9781566329249	-32.9781566329249	-32.9781566329249	-32.9781566329249	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357	6.87266915290357
Keratan sulfate degradation	-8.15090824406148	20.353982300885	20.353982300885	20.353982300885	20.353982300885	20.353982300885	20.353982300885	20.353982300885	-14.4853283651607	-16.0689333954355	-14.4853283651607	-16.0689333954355	20.353982300885	20.353982300885	20.353982300885	20.353982300885	-14.4853283651607	-14.4853283651607	-14.4853283651607	-14.4853283651607	20.353982300885	-8.15090824406148	-14.4853283651607	20.353982300885	-8.15090824406148	-8.15090824406148	-8.15090824406148	-8.15090824406148	20.353982300885	20.353982300885	20.353982300885	20.353982300885	-100	-100	-100	-100	-14.4853283651607	-14.4853283651607	-14.4853283651607	-14.4853283651607	-8.15090824406148	-14.4853283651607	-14.4853283651607	-14.4853283651607	20.353982300885	20.353982300885	20.353982300885	20.353982300885	20.353982300885	20.353982300885	20.353982300885	20.353982300885	20.353982300885	20.353982300885	20.353982300885	20.353982300885	-8.15090824406148	-8.15090824406148	-8.15090824406148	-8.15090824406148	20.353982300885	20.353982300885	20.353982300885	20.353982300885	20.353982300885	20.353982300885	20.353982300885	-8.15090824406148
Leukotriene metabolism	21.6442527277341	21.6442527277341	21.6442527277341	21.6442527277341	21.6442527277341	20.7815275310835	20.7815275310835	20.7815275310835	-66.3537173306267	-68.0791677239279	-56.0010149708196	-56.8637401674702	21.6442527277341	20.7815275310835	20.7815275310835	20.7815275310835	-57.7264653641208	-82.7454960669881	-57.7264653641208	-82.7454960669881	37.1733062674448	-56.0010149708196	31.9969550875412	38.0360314640954	36.3105810707942	37.1733062674448	37.1733062674448	36.3105810707942	22.5069779243847	22.5069779243847	22.5069779243847	21.6442527277341	-68.0791677239279	-68.0791677239279	-68.0791677239279	-83.6082212636387	15.6051763511799	-94.8236488200964	-70.6673433138797	16.4679015478305	-57.7264653641208	-57.7264653641208	-77.5691448870845	-76.7064196904339	38.0360314640954	38.0360314640954	22.5069779243847	38.898756660746	38.0360314640954	37.1733062674448	38.0360314640954	38.0360314640954	25.9578787109871	20.7815275310835	20.7815275310835	22.5069779243847	21.6442527277341	20.7815275310835	21.6442527277341	20.7815275310835	31.1342298908906	31.1342298908906	31.1342298908906	31.1342298908906	21.6442527277341	21.6442527277341	26.8206039076377	19.0560771377823
