Mets	DemandValue
MAM03823u	0
MAM03824u	0
MAM03826u	0
MAM03825u	0
MAM03827u	0
MAM03828u	0
MAM03829u	0
MAM03831u	0
MAM03830u	0
MAM03832u	0
MAM03833u	0
MAM03834u	0
MAM03835u	0
MAM03840u	0
MAM03843u	0
MAM03844u	0
MAM03847u	0
MAM03857u	0
MAM03885u	0
MAM02868u	0
MAM03923u	0
MAM03936u	0
MAM03937u	0
MAM03938u	0
MAM03940u	0
MAM03939u	0
MAM03941u	0
MAM03943u	0
MAM03942u	0
MAM03945u	0
MAM03944u	0
MAM03946u	0
MAM03948u	0
MAM03947u	0
MAM03949u	0
MAM03950u	0
MAM03951u	0
MAM03953u	0
MAM03954u	-12.21128759
MAM03977u	0
MAM02992u	0
MAM04006u	0
MAM02974u	0
MAM03124u	0
MAM00270u	-16.62225095
MAM04075u	0
MAM04078u	0
MAM03400u	0
MAM03398u	0
MAM01788u	0
MAM00821u	0
MAM01074u	-161.0157678
MAM02536u	-98.93073139
MAM01313u	0
MAM02344u	-88.96413679
MAM01982u	0
MAM01998u	0
MAM02633u	0
MAM02720u	-4.013568
MAM03882u	0
MAM00916u	0
MAM00128u	-18.52049732
MAM02723u	-12.040704
MAM02622u	0
MAM02407u	0
MAM02832u	-3.602702865
MAM02451u	0
MAM00536u	-6.010762279
MAM03896u	-1.003392
MAM02978u	0
MAM02137u	-8.20889873
MAM01609u	0
MAM02525u	-67.27198353
MAM02543u	0
MAM01620u	0
MAM02733u	0
MAM01991u	0
MAM01182u	-12.58055299
MAM01178u	-7.252816812
MAM00671u	-28.094976
MAM01683u	-122.4534765
MAM01253u	-142.0944603
MAM01280u	-57.9930802
MAM01306u	-94.34164369
MAM01369u	-96.13250856
MAM01370u	-4.013568
MAM01410u	-4.013568
MAM01626u	-24.081408
MAM01596u	-10413.84404
MAM01630u	-44.63959414
MAM01666u	-59.36356683
MAM01668u	-49.6326252
MAM01669u	
MAM01671u	-61.12562108
MAM01673u	-52.76927919
MAM01821u	-0.00424336
MAM01862u	0
MAM01910u	
MAM01974u	-92.47211486
MAM01393u	-41.51073324
MAM03630u	-1.003392
MAM02039u	-10625.34924
MAM02040u	-81611.08412
MAM02184u	-4.013568
MAM02170u	-61.93776001
MAM02200u	-4.013568
MAM02403u	-315.8019633
MAM02360u	-5.016965378
MAM02426u	-4.013573255
MAM02439u	0
MAM02471u	-8.027136
MAM02519u	-4.013568
MAM02658u	-137.4451692
MAM02759u	0
MAM02770u	-245.9773216
MAM02842u	-8.027136
MAM02896u	-211.1098517
MAM02946u	-25.33298215
MAM02943u	0
MAM02996u	-51.49946858
MAM03121u	-20.97174665
MAM03123u	-51.36602399
MAM03135u	-4.013568
MAM02680u	0
MAM01986u	-144.370799
MAM01628u	-24.081408
MAM01307u	-274.8903383
MAM02125u	-8.027136
MAM02993u	-4.013568
MAM01975u	-100.7541726
MAM02724u	-8.027136
MAM03101u	-12.040704
MAM01365u	-16.069248
MAM01833u	-18.84528043
MAM02586u	-5.465789726
MAM02169u	-5.465789727
MAM02579u	-274.8903384
MAM01252u	-359.6390485
MAM01587u	-4.013568
MAM01632u	0
MAM01797u	-215.1232911
MAM01830u	-16.054272
MAM01840u	-80.45071381
MAM01909u	-77.84104593
MAM01681u	-65.42462423
MAM01973u	0
MAM01983u	
MAM02159u	
MAM02450u	0
MAM02453u	-42.18218707
MAM02812u	-141.4586487
MAM02843u	-4.013568
MAM02923u	-4.013568
MAM02982u	-4.013568
MAM03089u	-4.013568
MAM03118u	-53.71532319
MAM03148u	
MAM01758u	-79.78191593
MAM02817u	-8.027136
MAM00995u	0
MAM00729u	-8.042112
MAM02772u	-95.52918786
MAM02337u	0
MAM01962u	0
MAM02819u	-290.0965727
MAM01401u	0
MAM02332u	-40.58207427
MAM01279u	-72.05200874
MAM01796u	-4.013568
MAM01249u	0
MAM02049u	-0.362197154
MAM02037u	
MAM00970u	-117.6664879
MAM02961u	-4.013568
MAM02725u	-8.027136
MAM03099u	-16.054272
MAM00654u	-12.040704
MAM02336u	0
MAM03136u	-4.013568
MAM02007u	0
MAM00664u	-4.047514882
MAM00825u	-0.042433602
MAM02190u	-4.056001602
MAM03189u	0
MAM03190u	-52.46678929
MAM03245u	0
MAM03257u	-8.042116177
MAM03227u	0
MAM03214u	
MAM03575u	0
MAM03981u	-16.48142142
MAM03657u	
MAM03568u	-9.393757104
MAM02181u	-0.025460161
MAM02534u	-0.00424336
MAM01303u	-16.069248
MAM00981u	-12.040704
MAM02942u	-97.66321721
MAM00324u	0
MAM02933u	-0.167232
MAM00971u	-0.00424336
MAM01660u	
MAM00399u	-0.00424336
MAM01064u	-0.00424336
MAM01065u	-0.00424336
MAM01790u	0
MAM00650u	0
MAM00649u	-0.00424336
MAM00660u	-0.00424336
MAM00659u	-0.00424336
MAM00295u	-0.00424336
MAM00294u	-0.00424336
MAM02763u	0
MAM02762u	-0.00424336
MAM00610u	0
MAM00727u	
MAM01039u	-18.52049732
MAM00293u	
MAM01927u	0
MAM02518u	-4.013568
MAM01113u	-5.465789726
MAM03088u	-5.465789726
MAM02752u	
MAM03125u	0
MAM01604u	-19.71430043
MAM02601u	-16.054272
MAM02756u	0
MAM00248u	-14.50692932
MAM02473u	-0.012730081
MAM02771u	0
MAM02425u	-4.013568
MAM01759u	-4.013568
MAM02441u	0
MAM02929u	
MAM02166u	-16.054272
MAM01110u	-5.465789727
MAM02803u	-4.013568
MAM01332u	0
MAM02823u	-8.03137936
MAM02927u	
MAM02503u	-18.52049732
MAM01220u	0
MAM03564u	
MAM03563u	
MAM01138u	
MAM00308u	0
MAM01965u	-80.45071381
MAM03503u	-11.25089807
MAM03508u	
MAM03509u	
