Mets	DemandValue
MAM03257bc	
MAM03227bc	0
MAM03214bc	-8.782863469
MAM03575bc	0
MAM03981bc	-1873.493408
MAM03657bc	-0.217844122
MAM03568bc	-7.563727226
MAM02181bc	-3.704832
MAM02534bc	-22.228992
MAM01303bc	-14.819328
MAM00981bc	-11.114496
MAM02942bc	0
MAM00324bc	0
MAM00428bc	0
MAM02933bc	-0.154368
MAM00971bc	-0.00424336
MAM01660bc	-0.00424336
MAM00399bc	-0.00424336
MAM01064bc	-0.00424336
MAM01065bc	-0.00424336
MAM01790bc	0
MAM00650bc	0
MAM00649bc	
MAM00660bc	0
MAM00659bc	0
MAM00295bc	-0.00424336
MAM00294bc	-0.00424336
MAM02763bc	0
MAM01504bc	0
MAM02762bc	-0.00424336
MAM00610bc	
MAM00623bc	0
MAM00619bc	0
MAM01675bc	0
MAM01512bc	0
MAM00350bc	-3.602702864
MAM01231bc	0
MAM00727bc	
MAM01039bc	-2354.940142
MAM00293bc	-2259.088542
MAM02134bc	
MAM01927bc	0
MAM02518bc	-633.1304489
MAM01113bc	
MAM03088bc	-5.465789728
MAM02752bc	
MAM02875bc	
MAM03125bc	0
MAM01604bc	-20.95560392
MAM02601bc	-116.828892
MAM02756bc	0
MAM00248bc	-20.78759089
MAM02473bc	
MAM02771bc	0
MAM02870bc	0
MAM02425bc	-78.62202826
MAM01759bc	-150.8402704
MAM02441bc	0
MAM02929bc	-1829.202373
MAM02117bc	0
MAM02166bc	-116.828892
MAM01110bc	-5.465789726
MAM01045bc	-70.00016043
MAM02803bc	-427.9372002
MAM01332bc	0
MAM02823bc	-11.11873936
MAM02927bc	-12.2906399
MAM02503bc	-633.1844127
MAM01220bc	0
MAM01841bc	-25.93594568
MAM03564bc	
MAM03563bc	
MAM01138bc	
MAM01154bc	0
MAM00231bc	
MAM01972bc	-543.0439432
MAM03197bc	
MAM02750bc	0
MAM00308bc	0
MAM01139bc	-6.104552736
MAM03282bc	-6.104552736
MAM01904bc	
MAM03635bc	0
MAM03503bc	-270.87391
MAM03508bc	-298.8673534
MAM03509bc	-298.8673397
MAM03536bc	-280.5134015
MAM03537bc	-280.5134015
MAM03642bc	-278.6441602
MAM03643bc	-278.6441602
MAM03685bc	-294.5064067
MAM02120bc	-10427.01351
MAM00635bc	-27.41766244
MAM01111bc	-0.008486721
MAM01966bc	
MAM01730bc	-5.400965316
MAM00517bc	
MAM00519bc	0
MAM00739bc	0
MAM03206bc	-294.5064067
MAM03207bc	-268.7585124
MAM03208bc	-281.3890882
MAM03209bc	0
MAM03212bc	0
MAM00807bc	0
MAM03246bc	0
MAM03258bc	-10.39379544
MAM03260bc	-10.53793556
MAM03270bc	-3.704832
MAM03277bc	0
MAM01922bc	0
MAM01073bc	0
MAM03281bc	0
MAM03283bc	-20.72063528
MAM01101bc	0
MAM03287bc	0
MAM03310bc	0
MAM03311bc	0
MAM03315bc	0
MAM01040bc	-2775.792415
MAM02096bc	
MAM02796bc	0
MAM00305bc	-659.8255424
MAM01134bc	0
MAM02925bc	-0.00212168
MAM02924bc	-0.00212168
MAM02921bc	-3.704832
MAM02922bc	-3.704832
MAM02920bc	-3.704832
MAM02654bc	0
MAM02603bc	
MAM02995bc	-1995.237793
MAM02402bc	0
MAM02965bc	0
MAM02000bc	0
MAM02951bc	0
MAM02952bc	0
MAM02776bc	-714.8215467
MAM02778bc	0
MAM02779bc	-3.704832
MAM02780bc	
MAM02781bc	-1995.237793
MAM01989bc	0
MAM03399bc	0
MAM02902bc	-8.951774008
MAM02903bc	-8.951774008
MAM02546bc	-950.8663311
MAM03407bc	0
MAM01291bc	-0.059677645
MAM01344bc	0
MAM01326bc	0
MAM00002bc	0
MAM01640bc	
MAM02123bc	0
MAM01380bc	0
MAM03504bc	-256.9485462
MAM01385bc	0
MAM01741bc	-6521.390818
MAM01601bc	0
MAM03512bc	0
MAM01610bc	0
MAM01612bc	0
MAM01613bc	0
MAM02145bc	0
MAM01648bc	-5193.086066
MAM03538bc	-267.9729205
MAM00094bc	-2301.875862
MAM01696bc	-714.8215467
MAM01768bc	0
MAM00577bc	0
MAM01373bc	0
MAM03560bc	-25.16837298
MAM03565bc	-7.409664
MAM01712bc	0
MAM01765bc	0
MAM02150bc	0
MAM01767bc	0
MAM02648bc	0
MAM02164bc	-11.04020615
MAM02199bc	-12.45238957
MAM03577bc	0
MAM01851bc	0
MAM01853bc	0
MAM03578bc	-11.03808358
MAM02331bc	0
MAM01861bc	0
MAM03585bc	0
MAM03587bc	-281.9451286
MAM03588bc	-294.7772618
MAM01943bc	0
MAM03589bc	-264.1972494
MAM03615bc	0
MAM02010bc	0
MAM02018bc	0
MAM02019bc	0
MAM02028bc	0
MAM02030bc	0
MAM03637bc	0
MAM02139bc	-1544.407652
MAM01432bc	-1945.536515
MAM03660bc	-106.0734777
MAM02456bc	0
MAM02174bc	-0.002414856
MAM03691bc	0
MAM03704bc	0
MAM03709bc	0
MAM02385bc	-51.7547528
