Mets	DemandValue
MAM01042bc	-251.925203542307
MAM02805bc	
MAM03397bc	0
MAM03401bc	0
MAM03406bc	-0.0042433602462566
MAM03408bc	0
MAM03410bc	0
MAM02877bc	0
MAM03433bc	0
MAM03434bc	0
MAM01399bc	0
MAM00169bc	-44.9423089098506
MAM02540bc	-177.280667023396
MAM00337bc	0
MAM02395bc	-261.195509663007
MAM02396bc	-271.08699670498
MAM01335bc	-141.569644646854
MAM01054bc	-15.6584213551581
MAM00279bc	0
MAM00366bc	0
MAM01216bc	-763.849191788308
MAM01168bc	0
MAM02531bc	
MAM01392bc	0
MAM00830bc	0
MAM03569bc	0
MAM00384bc	0
MAM01337bc	-0.0042433602462566
MAM00376bc	0
MAM02365bc	-238.352168349837
MAM00365bc	0
MAM01616bc	0
MAM03550bc	0
MAM03551bc	0
MAM03558bc	0
MAM03561bc	0
MAM03562bc	-256.276918015426
MAM00126bc	0
MAM02574bc	-171.457154793165
MAM02479bc	-508.328002442043
MAM03649bc	0
MAM03652bc	0
MAM03654bc	-481.759903671663
MAM02135bc	0
MAM02132bc	0
MAM03681bc	0
MAM02122bc	-1.66127371581393e-09
MAM00585bc	-20.5353077213133
MAM00599bc	-199.745638512688
MAM03724bc	0
MAM02388bc	0
MAM02413bc	0
MAM02343bc	-78.4228340994618
MAM03751bc	0
MAM03752bc	0
MAM03753bc	0
MAM03754bc	0
MAM03755bc	0
MAM00167bc	0
MAM02173bc	0
MAM02532bc	0
MAM02497bc	-12.1594791766406
MAM03796bc	0
MAM03802bc	0
MAM03803bc	0
MAM03804bc	0
MAM03805bc	0
MAM03806bc	0
MAM03807bc	0
MAM03808bc	0
MAM03809bc	0
MAM03810bc	0
MAM03811bc	0
MAM03812bc	0
MAM03813bc	0
MAM03814bc	0
MAM03815bc	0
MAM03816bc	0
MAM03818bc	0
MAM03817bc	0
MAM03819bc	0
MAM03820bc	0
MAM03821bc	0
MAM03822bc	0
MAM03823bc	0
MAM03824bc	0
MAM03826bc	0
MAM03825bc	0
MAM03827bc	0
MAM03828bc	0
MAM03829bc	0
MAM03831bc	0
MAM03830bc	0
MAM03832bc	0
MAM03833bc	0
MAM03834bc	0
MAM03835bc	0
MAM03840bc	0
MAM03843bc	0
MAM03844bc	0
MAM03846bc	0
MAM03847bc	0
MAM03848bc	0
MAM03856bc	0
MAM03857bc	0
MAM03859bc	0
MAM03860bc	0
