Mets	DemandValue
MAM02908bc	-166.072628124096
MAM03394bc	0
MAM01801bc	0
MAM01954bc	0
MAM01955bc	0
MAM03772bc	0
MAM03773bc	0
MAM03774bc	0
MAM03776bc	0
MAM02525bc	
MAM02543bc	0
MAM01620bc	0
MAM01580bc	-0.014976
MAM02733bc	0
MAM01991bc	0
MAM00758bc	-64.7593810376212
MAM00752bc	-79.4596609692442
MAM01093bc	-80.3602242928736
MAM01182bc	-90.4179069490581
MAM01178bc	-7.99746194064694
MAM03313bc	-81.9722590937007
MAM00671bc	-48.884943895864
MAM01683bc	-733.718571056657
MAM01253bc	
MAM01306bc	
MAM01410bc	-893.544925125293
MAM01626bc	-269.152253057631
MAM01821bc	-0.00424336025374572
MAM01862bc	0
MAM01393bc	-289.709125325224
MAM03630bc	
MAM02439bc	-147.944771105424
MAM02588bc	0
MAM02759bc	0
MAM02946bc	-322.984838033852
MAM02943bc	0
MAM01833bc	-495.498301829331
MAM02169bc	-5.46578972693533
MAM02579bc	-1904.05162875212
MAM01252bc	-3550.70154805655
MAM01587bc	0
MAM01632bc	0
MAM01672bc	0
MAM01797bc	-1520.07612746173
MAM01830bc	
MAM01909bc	-351.520842359652
MAM01681bc	
MAM01973bc	0
MAM01983bc	
MAM02159bc	-426.653837506556
MAM02450bc	0
MAM03118bc	-789.918470683768
MAM03148bc	-268.705110084725
MAM01758bc	-651.255176981003
MAM00995bc	0
MAM00729bc	
MAM02772bc	-507.85175957273
MAM02337bc	0
MAM02819bc	-1225.87416387706
MAM03039bc	0
MAM02332bc	
MAM01279bc	-374.516737817228
MAM01796bc	-281.3208186
MAM01249bc	0
MAM02049bc	-0.362197153650263
MAM03775bc	0
MAM02037bc	-373.032911232192
MAM00970bc	-1052.71683496096
MAM02725bc	-24.857983968271
MAM03099bc	-40.2974841946795
MAM00654bc	-24.8579839688162
MAM02336bc	0
MAM03136bc	
MAM02007bc	0
MAM00664bc	-3.78569309014413
MAM00825bc	-0.0424336024625634
MAM02190bc	-0.0424336024625616
MAM03176bc	-3.75174620817408
MAM03186bc	-0.0404361614775368
MAM03189bc	0
MAM03190bc	-212.03046024019
MAM03245bc	0
MAM03257bc	-7.48852088959536
