Row	AdultMale_Adipocytes	AdultMale_Agland	AdultMale_Brain	AdultMale_Colon	AdultMale_Heart	AdultMale_Kidney	AdultMale_Liver	AdultMale_Lung	AdultMale_Muscle	AdultMale_Pancreas	AdultMale_Prostate	AdultMale_Scord	AdultMale_sIEC	AdultMale_Skin	AdultMale_Spleen	AdultMale_Stomach	AdultMale_Testis	AdultMale_Thyroidgland	AdultMale_Urinarybladder	ElderlyMale_Adipocytes	ElderlyMale_Agland	ElderlyMale_Brain	ElderlyMale_Colon	ElderlyMale_Heart	ElderlyMale_Kidney	ElderlyMale_Liver	ElderlyMale_Lung	ElderlyMale_Muscle	ElderlyMale_Pancreas	ElderlyMale_Prostate	ElderlyMale_Scord	ElderlyMale_sIEC	ElderlyMale_Skin	ElderlyMale_Spleen	ElderlyMale_Stomach	ElderlyMale_Testis	ElderlyMale_Thyroidgland	ElderlyMale_Urinarybladder	AdultFemale_Adipocytes	AdultFemale_Agland	AdultFemale_Brain	AdultFemale_Breast	AdultFemale_Cervix	AdultFemale_Colon	AdultFemale_Heart	AdultFemale_Kidney	AdultFemale_Liver	AdultFemale_Lung	AdultFemale_Muscle	AdultFemale_Ovary	AdultFemale_Pancreas	AdultFemale_Scord	AdultFemale_sIEC	AdultFemale_Skin	AdultFemale_Spleen	AdultFemale_Stomach	AdultFemale_Thyroidgland		AdultFemale_Uterus	ElderlyFemale_Adipocytes	ElderlyFemale_Agland	ElderlyFemale_Brain	ElderlyFemale_Breast	ElderlyFemale_Cervix	ElderlyFemale_Colon	ElderlyFemale_Heart	ElderlyFemale_Kidney	ElderlyFemale_Liver	ElderlyFemale_Lung	ElderlyFemale_Muscle	ElderlyFemale_Ovary	ElderlyFemale_Pancreas	ElderlyFemale_Scord	ElderlyFemale_sIEC	ElderlyFemale_Skin	ElderlyFemale_Spleen	ElderlyFemale_Stomach	ElderlyFemale_Thyroidgland	ElderlyFemale_Urinarybladder	ElderlyFemale_Uterus
"7Z-octadecenoic acid de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1		1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1
"6Z,9Z-octadecadienoic acid de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1		1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1
"Nonadecylic acid de novo synthesis (minimal substrates, physiological excretion)"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"Eicosanoate de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1		1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1
"13Z-Eicosenoic acid de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1		1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1
"cis-gondoic acid de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1		1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1
"9-Eicosenoic acid de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1		1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1
"8,11-Eicosadienoic acid de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1		1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1
"Mead acid de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1		1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1
"Behenic acid de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1		1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1
"cis-erucic acid de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1		1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1
"cis-cetoleic acid de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1		1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1
"Tricosanoic acid de novo synthesis (minimal substrates, physiological excretion)"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"Lignocerate de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1		1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1
"Nervonic acid de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1		1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1
"Cerotic acid de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1		1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1
"Ximenic acid de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1		1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1
"9Z,12Z,15Z,18Z,21Z-TPA de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1
"6Z,9Z,12Z,15Z,18Z,21Z-THA de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1
"DHA de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
"11Z,14Z,17Z-eicosatrienoic acid de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1
"13,16,19-docosatrienoic acid de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1
"10,13,16,19-docosatetraenoic acid de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1
"12,15,18,21-tetracosatetraenoic acid de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1
"gamma-Linolenate de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
"Dihomo-gamma-linolenate de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
"Arachidonate de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
"Adrenic acid de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1
"9Z,12Z,15Z,18Z-TTA de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1
"6Z,9Z,12Z,15Z,18Z-TPA de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1
"4Z,7Z,10Z,13Z,16Z-DPA de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1
"11Z,14Z-eicosadienoic acid de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1
"13Z,16Z-docosadienoic acid de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1
"10,13,16-docosatriynoic acid de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1
7-palmitoleic acid (complete oxidation)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1		1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
13Z-Eicosenoic acid (complete oxidation)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
Tricosanoic acid (complete oxidation)	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
Lignocerate (complete oxidation)	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
Cerotic acid (complete oxidation)	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
"9Z,12Z,15Z,18Z,21Z-TPA (complete oxidation)"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1
"6Z,9Z,12Z,15Z,18Z,21Z-THA (complete oxidation)"	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1		0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1
"6Z,9Z,12Z,15Z,18Z-TPA (complete oxidation)"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
"Triacylglycerol de novo synthesis (physiological substrates, physiological excretion)"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"Taurocholate de novo synthesis and excretion (minimal substrates, physiological excretion)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"Taurochenodeoxycholate de novo synthesis and excretion (minimal substrates, physiological excretion)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"PAPS de novo synthesis (minimal substrates, physiological excretion)"	1	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1		1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1	0	1
PAP degradation	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Bilirubin conjugation (minimal substrates, physiological excretion)"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0		0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0
NH3 import and degradation	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
