ID	Name	GPR	Subsystem	Reaction	Reaction_eq	Lb	Ub	Mets_Coefficient	Metabolites	Coefficient	
Muscle_Trans_MAM02479e			Exchange/demand reactions	Muscle_MAM02479e => MAM02479e	methylmalonate => methylmalonate	0	1000	"{'Muscle_MAM02479e': -1.0, 'MAM02479e': 1.0}"	"['Muscle_MAM02479e', 'MAM02479e']"	"[-1.0, 1.0]"	PMID: 36070684
Muscle_Trans_MAM02532e			Exchange/demand reactions	Muscle_MAM02532e => MAM02532e	N-acetyl-L-aspartate => N-acetyl-L-aspartate	0	1000	"{'Muscle_MAM02532e': -1.0, 'MAM02532e': 1.0}"	"['Muscle_MAM02532e', 'MAM02532e']"	"[-1.0, 1.0]"	PMID: 36070684
Muscle_Trans_MAM02583e			Exchange/demand reactions	MAM02583e => Muscle_MAM02583e	nicotinamide => nicotinamide	0	1000	"{'Muscle_MAM02583e': 1.0, 'MAM02583e': -1.0}"	"['Muscle_MAM02583e', 'MAM02583e']"	"[1.0, -1.0]"	PMID: 36070684
Muscle_Trans_MAM02409e			Exchange/demand reactions	Muscle_MAM02409e => MAM02409e	L-octanoylcarnitine => L-octanoylcarnitine	0	1000	"{'Muscle_MAM02409e': -1.0, 'MAM02409e': 1.0}"	"['Muscle_MAM02409e', 'MAM02409e']"	"[-1.0, 1.0]"	PMID: 36070684
Muscle_Trans_MAM01798e			Exchange/demand reactions	MAM01798e => Muscle_MAM01798e	ethanolamine-phosphate => ethanolamine-phosphate	0	1000	"{'Muscle_MAM01798e': 1.0, 'MAM01798e': -1.0}"	"['Muscle_MAM01798e', 'MAM01798e']"	"[1.0, -1.0]"	PMID: 36070684
Muscle_Trans_MAM02658e			Exchange/demand reactions	MAM02658e => Muscle_MAM02658e	ornithine => ornithine	0	1000	"{'Muscle_MAM02658e': 1.0, 'MAM02658e': -1.0}"	"['Muscle_MAM02658e', 'MAM02658e']"	"[1.0, -1.0]"	PMID: 36070684
Muscle_Trans_MAM02411e			Exchange/demand reactions	Muscle_MAM02411e => MAM02411e	L-palmitoylcarnitine => L-palmitoylcarnitine	0	1000	"{'Muscle_MAM02411e': -1.0, 'MAM02411e': 1.0}"	"['Muscle_MAM02411e', 'MAM02411e']"	"[-1.0, 1.0]"	PMID: 36070684
Muscle_Trans_MAM02723e			Exchange/demand reactions	MAM02723e => Muscle_MAM02723e	phenylacetylglycine => phenylacetylglycine	0	1000	"{'Muscle_MAM02723e': 1.0, 'MAM02723e': -1.0}"	"['Muscle_MAM02723e', 'MAM02723e']"	"[1.0, -1.0]"	PMID: 36070684
Muscle_Trans_MAM02772e			Exchange/demand reactions	MAM02772e => Muscle_MAM02772e	propanoate => propanoate	0	1000	"{'Muscle_MAM02772e': 1.0, 'MAM02772e': -1.0}"	"['Muscle_MAM02772e', 'MAM02772e']"	"[1.0, -1.0]"	PMID: 36070684
Muscle_Trans_MAM02657e			Exchange/demand reactions	MAM02657e => Muscle_MAM02657e	O-propanoylcarnitine => O-propanoylcarnitine	0	1000	"{'Muscle_MAM02657e': 1.0, 'MAM02657e': -1.0}"	"['Muscle_MAM02657e', 'MAM02657e']"	"[1.0, -1.0]"	PMID: 36070684
Muscle_Trans_MAM02896e			Exchange/demand reactions	MAM02896e => Muscle_MAM02896e	serine => serine	0	1000	"{'Muscle_MAM02896e': 1.0, 'MAM02896e': -1.0}"	"['Muscle_MAM02896e', 'MAM02896e']"	"[1.0, -1.0]"	PMID: 36070684
Muscle_Trans_MAM01682e			Exchange/demand reactions	Muscle_MAM01682e => MAM01682e	D-glucitol => D-glucitol	0	1000	"{'Muscle_MAM01682e': -1.0, 'MAM01682e': 1.0}"	"['Muscle_MAM01682e', 'MAM01682e']"	"[-1.0, 1.0]"	PMID: 36070684
Muscle_Trans_MAM02943e			Exchange/demand reactions	Muscle_MAM02943e => MAM02943e	succinate => succinate	0	1000	"{'Muscle_MAM02943e': -1.0, 'MAM02943e': 1.0}"	"['Muscle_MAM02943e', 'MAM02943e']"	"[-1.0, 1.0]"	PMID: 36070684
Muscle_Trans_MAM03118e			Exchange/demand reactions	Muscle_MAM03118e => MAM03118e	uracil => uracil	0	1000	"{'Muscle_MAM03118e': -1.0, 'MAM03118e': 1.0}"	"['Muscle_MAM03118e', 'MAM03118e']"	"[-1.0, 1.0]"	PMID: 36070684
Muscle_Trans_MAM01307e			Exchange/demand reactions	Muscle_MAM01307e => MAM01307e	alanine => alanine	0	1000	"{'Muscle_MAM01307e': -1.0, 'MAM01307e': 1.0}"	"['Muscle_MAM01307e', 'MAM01307e']"	"[-1.0, 1.0]"	PMID: 31545302
Muscle_Trans_MAM03123e			Exchange/demand reactions	Muscle_MAM03123e => MAM03123e	uridine => uridine	0	1000	"{'Muscle_MAM03123e': -1.0, 'MAM03123e': 1.0}"	"['Muscle_MAM03123e', 'MAM03123e']"	"[-1.0, 1.0]"	Exchange/demand reactions
Muscle_Trans_MAM03135e			Exchange/demand reactions	MAM03135e => Muscle_MAM03135e	valine => valine	0	1000	"{'Muscle_MAM03135e': 1.0, 'MAM03135e': -1.0}"	"['Muscle_MAM03135e', 'MAM03135e']"	"[1.0, -1.0]"	Exchange/demand reactions
Muscle_Trans_MAM03149e			Exchange/demand reactions	Muscle_MAM03149e => MAM03149e	xanthosine => xanthosine	0	1000	"{'Muscle_MAM03149e': -1.0, 'MAM03149e': 1.0}"	"['Muscle_MAM03149e', 'MAM03149e']"	"[-1.0, 1.0]"	Exchange/demand reactions
MAR09086			Exchange/demand reactions	MAM01252e => 	acetate => 	0	1000	{'MAM01252e': -1.0}	['MAM01252e']	[-1.0]	Exchange/demand reactions
MAR09286			Exchange/demand reactions	MAM01587e => 	citrate => 	0	1000	{'MAM01587e': -1.0}	['MAM01587e']	[-1.0]	Exchange/demand reactions
MAR11393			Exchange/demand reactions	MAM01683e => 	D-gluconic acid => 	0	1000	{'MAM01683e': -1.0}	['MAM01683e']	[-1.0]	Exchange/demand reactions
MAR09034			Exchange/demand reactions	MAM01965e => 	glucose => 	0	1000	{'MAM01965e': -1.0}	['MAM01965e']	[-1.0]	Exchange/demand reactions
MAR09071			Exchange/demand reactions	MAM01974e => 	glutamate => 	0	1000	{'MAM01974e': -1.0}	['MAM01974e']	[-1.0]	Exchange/demand reactions
MAR10184			Exchange/demand reactions	MAM01004e => 	4-hydroxyphenyllactate => 	0	1000	{'MAM01004e': -1.0}	['MAM01004e']	[-1.0]	Exchange/demand reactions
DM_MAM01729e			Exchange/demand reactions	MAM01729e => 	dodecanoylcarnitine => 	0	1000	{'MAM01729e': -1.0}	['MAM01729e']	[-1.0]	Exchange/demand reactions
MAR09041			Exchange/demand reactions	MAM02426e => 	lysine => 	0	1000	{'MAM02426e': -1.0}	['MAM02426e']	[-1.0]	Exchange/demand reactions
MAR11404			Exchange/demand reactions	MAM02439e => 	malate => 	0	1000	{'MAM02439e': -1.0}	['MAM02439e']	[-1.0]	Exchange/demand reactions
MAR09145			Exchange/demand reactions	MAM02680e => 	pantothenate => 	0	1000	{'MAM02680e': -1.0}	['MAM02680e']	[-1.0]	Exchange/demand reactions
MAR09069			Exchange/demand reactions	MAM02896e => 	serine => 	0	1000	{'MAM02896e': -1.0}	['MAM02896e']	[-1.0]	Exchange/demand reactions
MAR09422			Exchange/demand reactions	MAM02997e => 	thymine => 	0	1000	{'MAM02997e': -1.0}	['MAM02997e']	[-1.0]	Exchange/demand reactions
MAR09075			Exchange/demand reactions	MAM03120e => 	urate => 	0	1000	{'MAM03120e': -1.0}	['MAM03120e']	[-1.0]	Exchange/demand reactions
MAR09861			Exchange/demand reactions	MAM03149e => 	xanthosine => 	0	1000	{'MAM03149e': -1.0}	['MAM03149e']	[-1.0]	Exchange/demand reactions
MAR09109			Exchange/demand reactions	MAM01401e => 	biotin => 	0	1000	{'MAM01401e': -1.0}	['MAM01401e']	[-1.0]	Exchange/demand reactions
MAR09809			Exchange/demand reactions	MAM01410e => 	butyrate => 	0	1000	{'MAM01410e': -1.0}	['MAM01410e']	[-1.0]	Exchange/demand reactions
MAR09290			Exchange/demand reactions	MAM01619e => 	creatine => 	0	1000	{'MAM01619e': -1.0}	['MAM01619e']	[-1.0]	Exchange/demand reactions
MAR09363			Exchange/demand reactions	MAM01629e => 	cystine => 	0	1000	{'MAM01629e': -1.0}	['MAM01629e']	[-1.0]	Exchange/demand reactions
MAR10193			Exchange/demand reactions	MAM01052e => 	"5,6-Dihydrouracil => "	0	1000	{'MAM01052e': -1.0}	['MAM01052e']	[-1.0]	Exchange/demand reactions
MAR08963			Exchange/demand reactions	MAM02157e => 	hypotaurine => 	0	1000	{'MAM02157e': -1.0}	['MAM02157e']	[-1.0]	Exchange/demand reactions
MAR09025			Exchange/demand reactions	MAM01127e => 	5-oxoproline => 	0	1000	{'MAM01127e': -1.0}	['MAM01127e']	[-1.0]	Exchange/demand reactions
MAR10321			Exchange/demand reactions	MAM03923e => 	Sebacicacid => 	0	1000	{'MAM03923e': -1.0}	['MAM03923e']	[-1.0]	Exchange/demand reactions
MAR09216			Exchange/demand reactions	MAM00648e => 	2-hydroxybutyrate => 	0	1000	{'MAM00648e': -1.0}	['MAM00648e']	[-1.0]	Exchange/demand reactions
MAR10185			Exchange/demand reactions	MAM00784e => 	3-hydroxyisobutyrate => 	0	1000	{'MAM00784e': -1.0}	['MAM00784e']	[-1.0]	Exchange/demand reactions
MAR10427			Exchange/demand reactions	MAM00821e => 	3-methoxytyramine => 	0	1000	{'MAM00821e': -1.0}	['MAM00821e']	[-1.0]	Exchange/demand reactions
MAR09228			Exchange/demand reactions	MAM01033e => 	4-pyridoxate => 	0	1000	{'MAM01033e': -1.0}	['MAM01033e']	[-1.0]	Exchange/demand reactions
MAR09132			Exchange/demand reactions	MAM01253e => 	acetoacetate => 	0	1000	{'MAM01253e': -1.0}	['MAM01253e']	[-1.0]	Exchange/demand reactions
MAR10223			Exchange/demand reactions	MAM02531e => 	N-acetyl-L-asparagine => 	0	1000	{'MAM02531e': -1.0}	['MAM02531e']	[-1.0]	Exchange/demand reactions
MAR10197			Exchange/demand reactions	MAM03401e => 	Acetyl-L-Lysine => 	0	1000	{'MAM03401e': -1.0}	['MAM03401e']	[-1.0]	Exchange/demand reactions
MAR11350			Exchange/demand reactions	MAM01580e => 	cis-aconitate => 	0	1000	{'MAM01580e': -1.0}	['MAM01580e']	[-1.0]	Exchange/demand reactions
MAR09259			Exchange/demand reactions	MAM01306e => 	AKG => 	0	1000	{'MAM01306e': -1.0}	['MAM01306e']	[-1.0]	Exchange/demand reactions
MAR10431			Exchange/demand reactions	MAM01313e => 	allantoin => 	0	1000	{'MAM01313e': -1.0}	['MAM01313e']	[-1.0]	Exchange/demand reactions
MAR09856			Exchange/demand reactions	MAM02322e => 	L-2-aminoadipate => 	0	1000	{'MAM02322e': -1.0}	['MAM02322e']	[-1.0]	Exchange/demand reactions
MAR10428			Exchange/demand reactions	MAM01074e => 	5-aminolevulinate => 	0	1000	{'MAM01074e': -1.0}	['MAM01074e']	[-1.0]	Exchange/demand reactions
MAR09070			Exchange/demand reactions	MAM01370e => 	aspartate => 	0	1000	{'MAM01370e': -1.0}	['MAM01370e']	[-1.0]	Exchange/demand reactions
MAR08644			Exchange/demand reactions	MAM01423e => 	carnosine => 	0	1000	{'MAM01423e': -1.0}	['MAM01423e']	[-1.0]	Exchange/demand reactions
MAR09201			Exchange/demand reactions	MAM01588e => 	citrulline => 	0	1000	{'MAM01588e': -1.0}	['MAM01588e']	[-1.0]	Exchange/demand reactions
