cellLine	TP	TN	FP	FN	accuracy	sensitivity	specificity	F1	MCC
ACH-000557	117	2319	177	159	0.878787878787879	0.423913043478261	0.929086538461538	0.410526315789474	0.343262772850697
ACH-000018	111	2315	161	185	0.875180375180375	0.375	0.934975767366721	0.390845070422535	0.321806241554584
ACH-000605	110	2341	145	176	0.884199134199134	0.384615384615385	0.941673370876911	0.406654343807763	0.343418738200156
ACH-001306	92	2345	178	157	0.879148629148629	0.369477911646586	0.929449068569164	0.354527938342967	0.288268958431488
ACH-000251	121	2288	156	207	0.869047619047619	0.36890243902439	0.936170212765957	0.4	0.328560719000468
ACH-000190	122	2308	143	199	0.876623376623377	0.38006230529595	0.941656466748266	0.416382252559727	0.350106738957178
ACH-000326	132	2323	136	181	0.885642135642136	0.421725239616613	0.944692964619764	0.454388984509466	0.392413478362564
ACH-000880	120	2293	151	208	0.870490620490621	0.365853658536585	0.938216039279869	0.400667779632721	0.330688562188457
ACH-000654	118	2304	174	176	0.873737373737374	0.401360544217687	0.929782082324455	0.402730375426621	0.332140732614434
ACH-000187	135	2299	139	199	0.878066378066378	0.404191616766467	0.94298605414274	0.444078947368421	0.37867825827751
ACH-000829	125	2295	166	186	0.873015873015873	0.401929260450161	0.932547744819179	0.415282392026578	0.34438354389898
ACH-000960	133	2294	168	177	0.875541125541126	0.429032258064516	0.931762794476036	0.435351882160393	0.365481858191418
ACH-000036	98	2328	175	171	0.875180375180375	0.364312267657993	0.930083899320815	0.361623616236162	0.292465245118263
ACH-000591	106	2327	180	159	0.877705627705628	0.4	0.928201037096131	0.38475499092559	0.317253538193232
ACH-000294	117	2294	160	201	0.86976911976912	0.367924528301887	0.93480032599837	0.39327731092437	0.321679776624288
ACH-000794	110	2292	170	200	0.866522366522366	0.354838709677419	0.930950446791227	0.372881355932203	0.298894265683061
ACH-000596	108	2306	170	188	0.870851370851371	0.364864864864865	0.931340872374798	0.376306620209059	0.304539772755819
ACH-000232	103	2320	181	168	0.874098124098124	0.380073800738007	0.927628948420632	0.371171171171171	0.301362014090549
ACH-000488	120	2322	141	189	0.880952380952381	0.388349514563107	0.942752740560292	0.421052631578947	0.356804213510716
ACH-000320	118	2311	136	207	0.876262626262626	0.363076923076923	0.944421740907233	0.407599309153713	0.342891861391172
ACH-000993	92	2338	181	161	0.876623376623377	0.363636363636364	0.928146089718142	0.349809885931559	0.282012958320207
ACH-000288	111	2318	156	187	0.876262626262626	0.37248322147651	0.936944219886823	0.392920353982301	0.324868280745774
ACH-000804	124	2296	146	206	0.873015873015873	0.375757575757576	0.94021294021294	0.413333333333333	0.345104660535215
ACH-000463	96	2360	168	148	0.886002886002886	0.39344262295082	0.933544303797468	0.377952755905512	0.315608076179109
ACH-000295	126	2285	160	201	0.86976911976912	0.385321100917431	0.934560327198364	0.411092985318108	0.339210084915257
ACH-000606	111	2311	165	185	0.873737373737374	0.375	0.933360258481422	0.388111888111888	0.318055379280024
ACH-000592	97	2342	175	158	0.87987012987013	0.380392156862745	0.930472785061581	0.368121442125237	0.302015330426311
ACH-000471	101	2329	167	175	0.876623376623377	0.365942028985507	0.933092948717949	0.371323529411765	0.302980210068902
ACH-000825	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ACH-000330	126	2309	140	197	0.878427128427128	0.390092879256966	0.942833809718252	0.427843803056027	0.362671070096456
ACH-000323	101	2326	185	160	0.875541125541126	0.386973180076628	0.926324173636002	0.369287020109689	0.30079233004224
ACH-000127	136	2271	169	196	0.868326118326118	0.409638554216867	0.930737704918033	0.427001569858713	0.353173997860548
ACH-000007	126	2304	156	186	0.876623376623377	0.403846153846154	0.936585365853659	0.424242424242424	0.355918355705753
ACH-000178	113	2344	148	167	0.886363636363636	0.403571428571429	0.940609951845907	0.417744916820702	0.355137715547505
ACH-000968	129	2288	150	205	0.871933621933622	0.38622754491018	0.938474159146842	0.420880913539967	0.351326905957871
ACH-001340	95	2327	184	166	0.873737373737374	0.363984674329502	0.926722421346077	0.351851851851852	0.282186349566809
ACH-000338	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ACH-000571	109	2314	166	183	0.874098124098124	0.373287671232877	0.933064516129032	0.384479717813051	0.314602836237886
ACH-000853	126	2275	163	208	0.866161616161616	0.377245508982036	0.933141919606235	0.404494382022472	0.330641167591739
ACH-000478	94	2317	182	179	0.86976911976912	0.344322344322344	0.927170868347339	0.342440801457195	0.270175893714435
ACH-000317	129	2277	136	230	0.867965367965368	0.35933147632312	0.943638624119354	0.413461538461538	0.345959732150517
ACH-000246	108	2323	164	177	0.876984126984127	0.378947368421053	0.9340570969039	0.387791741472172	0.319562933733516
ACH-000810	113	2288	159	212	0.866161616161616	0.347692307692308	0.935022476501839	0.3785594639866	0.305740329121922
ACH-000957	132	2277	160	203	0.869047619047619	0.394029850746269	0.93434550677062	0.421052631578947	0.348661071589776
ACH-000444	108	2321	174	169	0.876262626262626	0.389891696750903	0.930260521042084	0.386404293381038	0.317619711157217
ACH-000344	124	2301	142	205	0.874819624819625	0.376899696048632	0.941874744167008	0.416806722689076	0.350035282873364
ACH-000847	110	2302	167	193	0.87012987012987	0.363036303630363	0.932361279870393	0.379310344827586	0.307336143905025
ACH-000383	133	2310	153	176	0.881313131313131	0.43042071197411	0.937880633373934	0.447058823529412	0.381049303538523
ACH-000448	118	2328	149	177	0.882395382395382	0.4	0.93984658861526	0.419928825622776	0.355220016675821
ACH-000108	112	2323	158	179	0.878427128427128	0.384879725085911	0.936316001612253	0.399286987522282	0.332050470926541
ACH-001164	112	2296	172	192	0.868686868686869	0.368421052631579	0.93030794165316	0.380952380952381	0.307823936861333
ACH-000188	102	2300	190	180	0.866522366522366	0.361702127659574	0.923694779116466	0.355400696864112	0.281032290702268
ACH-000544	116	2303	152	201	0.872655122655123	0.365930599369085	0.938085539714868	0.396581196581197	0.327391544951626
ACH-001552	104	2331	170	167	0.878427128427128	0.383763837638376	0.93202718912435	0.381651376146789	0.314246014387853
ACH-000522	128	2304	154	186	0.877344877344877	0.407643312101911	0.937347436940602	0.429530201342282	0.361692068426605
ACH-000167	107	2302	187	176	0.869047619047619	0.378091872791519	0.924869425472077	0.370883882149047	0.297898627986191
