Unnamed: 0	ID	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB	EQU	EQU LB	EQU UB	CHANGED RXN	CHANGED LB	CHANGED UB	PRINT FLUX	COMMENTS
							farnesyl-PP[c]	1.0									
	50	Lauric acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e]			CO2[e];H2O[e]										
							lauric acid[c]	1.0									
	51	Tridecylic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];isoleucine[c]			CO2[e];H2O[e];urate[e]										
							tridecylic acid[c]	1.0									
	52	Myristic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e]			CO2[e];H2O[e]										
							myristic acid[c]	1.0									
	53	Creatine de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							creatine[e]	1.0									
	54	Lauric acid (complete oxidation)		lauric acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	55	Tridecylic acid (complete oxidation)		tridecylic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	56	Myristic acid (complete oxidation)		myristic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	57	9E-tetradecenoic acid (complete oxidation)		(9E)-tetradecenoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	58	7Z-tetradecenoic acid (complete oxidation)		(7Z)-tetradecenoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	59	Physeteric acid (complete oxidation)		physeteric acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	60	Pentadecylic acid (complete oxidation)		pentadecylic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	61	Palmitate (complete oxidation)		palmitate[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	62	Palmitolate (complete oxidation)		palmitolate[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	63	7-palmitoleic acid (complete oxidation)		7-palmitoleic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	64	Margaric acid (complete oxidation)		margaric acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	65	10Z-heptadecenoic acid (complete oxidation)		(10Z)-heptadecenoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	66	9-heptadecylenic acid (complete oxidation)		9-heptadecylenic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	67	Stearate (complete oxidation)		stearate[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	68	13Z-octadecenoic acid (complete oxidation)		(13Z)-octadecenoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	69	cis-vaccenic acid (complete oxidation)		cis-vaccenic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	70	Oleate (complete oxidation)		oleate[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	71	Elaidate (complete oxidation)		elaidate[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	72	7Z-octadecenoic acid (complete oxidation)		(7Z)-octadecenoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	73	6Z,9Z-octadecadienoic acid (complete oxidation)		(6Z,9Z)-octadecadienoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	74	Nonadecylic acid (complete oxidation)		nonadecylic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	75	Eicosanoate (complete oxidation)		eicosanoate[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	76	13Z-Eicosenoic acid (complete oxidation)		(13Z)-eicosenoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	77	cis-gondoic acid (complete oxidation)		cis-gondoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	78	9-Eicosenoic acid (complete oxidation)		9-eicosenoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	79	8,11-Eicosadienoic acid (complete oxidation)		8,11-eicosadienoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	80	Mead acid (complete oxidation)		mead acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	81	Heneicosanoic acid (complete oxidation)		Heneicosanoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	82	Behenic acid (complete oxidation)		behenic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	83	cis-erucic acid (complete oxidation)		cis-erucic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	84	cis-cetoleic acid (complete oxidation)		cis-cetoleic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	85	Tricosanoic acid (complete oxidation)		tricosanoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	86	Lignocerate (complete oxidation)		lignocerate[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	87	Nervonic acid (complete oxidation)		nervonic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	88	Cerotic acid (complete oxidation)		cerotic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	89	Ximenic acid (complete oxidation)		ximenic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	90	Linolenate (complete oxidation)		linolenate[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	91	Stearidonic acid (complete oxidation)		stearidonic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	92	omega-3-Arachidonic acid (complete oxidation)		omega-3-arachidonic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	93	EPA (complete oxidation)		EPA[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	94	DPA (complete oxidation)		DPA[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	95	9Z,12Z,15Z,18Z,21Z-TPA (complete oxidation)		(9Z,12Z,15Z,18Z,21Z)-TPA[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	96	6Z,9Z,12Z,15Z,18Z,21Z-THA (complete oxidation)		(6Z,9Z,12Z,15Z,18Z,21Z)-THA[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	97	DHA (complete oxidation)		DHA[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	98	11Z,14Z,17Z-eicosatrienoic acid (complete oxidation)		(11Z,14Z,17Z)-eicosatrienoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	99	13,16,19-docosatrienoic acid (complete oxidation)		13,16,19-docosatrienoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	100	10,13,16,19-docosatetraenoic acid (complete oxidation)		10,13,16,19-docosatetraenoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	101	12,15,18,21-tetracosatetraenoic acid (complete oxidation)		12,15,18,21-tetracosatetraenoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	102	Linoleate (complete oxidation)		linoleate[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	103	gamma-Linolenate (complete oxidation)		gamma-linolenate[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	104	Dihomo-gamma-linolenate (complete oxidation)		dihomo-gamma-linolenate[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	105	Arachidonate (complete oxidation)		arachidonate[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	106	Adrenic acid (complete oxidation)		adrenic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
