Unnamed: 0	ID	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB	EQU	EQU LB	EQU UB	CHANGED RXN	CHANGED LB	CHANGED UB	PRINT FLUX	COMMENTS
	76.0	Xanthosine-5P synthesis, cytosol		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e];urea[e]										
							Xanthylic acid[c]	1.0									
	77.0	GMP synthesis, cytosol		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e];urea[e]										
							Guanosine monophosphate[c]	1.0									
	78.0	GTP synthesis, cytosol		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e];urea[e]										
							Guanosine triphosphate[c]	1.0									
	79.0	Uracil synthesis, cytosol		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e];urea[e]										
							uracil[c]	1.0									
	80.0	Uridine synthesis, cytosol		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e];urea[e]										
							uridine[c]	1.0									
	81.0	UMP synthesis, cytosol		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e];urea[e]										
							Uridine 5'-monophosphate[c]	1.0									
	82.0	UDP synthesis, cytosol		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e];urea[e]										
							Uridine 5'-diphosphate[c]	1.0									
	83.0	Cytidine synthesis, cytosol		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e];urea[e]										
							Cytidine[c]	1.0									
	84.0	CMP synthesis, cytosol		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e];urea[e]										
							Cytidine monophosphate[c]	1.0									
	85.0	CDP synthesis, cytosol		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e];urea[e]										
							CDP[c]	1.0									
	86.0	dCDP synthesis, cytosol		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e];urea[e]										
							dCDP[c]	1.0									
	87.0	Guanine synthesis, cytosol		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e];urea[e]										
							guanine[c]	1.0									
	88.0	Deoxyguanosine synthesis, cytosol		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e];urea[e]										
							deoxyguanosine[c]	1.0									
	89.0	dGMP synthesis, cytosol		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e];urea[e]										
							2-Deoxyguanosine 5-monophosphate[c]	1.0									
	90.0	dGDP synthesis, cytosol		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e];urea[e]										
							dGDP[c]	1.0									
	91.0	PRPP synthesis, cytosol		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e];urea[e]										
							Phosphoribosyl pyrophosphate[c]	1.0									
	92.0	AIR synthesis, cytosol		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e];urea[e]										
							5-Aminoimidazole ribonucleotide[c]	1.0									
	93.0	AICAR synthesis, cytosol		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e];urea[e]										
							AICAR[c]	1.0									
	94.0	FAICAR synthesis, cytosol		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e];urea[e]										
							Phosphoribosyl formamidocarboxamide[c]	1.0									
