Unnamed: 0	ID	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB	EQU	EQU LB	EQU UB	CHANGED RXN	CHANGED LB	CHANGED UB	PRINT FLUX	COMMENTS
	49	Farnesyl-PP de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];L-Phenylalanine[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							Farnesyl pyrophosphate[c]	1.0									
	50	Lauric acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							Dodecanoic acid[c]	1.0									
	51	Tridecylic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];L-Isoleucine[c]			Carbon dioxide[e];Water[e];Uric acid[e]										
							Tridecanoic acid[c]	1.0									
	52	Myristic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							Myristic acid[c]	1.0									
	53	Creatine de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							creatine[e]	1.0									
	54	Lauric acid (complete oxidation)		Dodecanoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	55	Tridecylic acid (complete oxidation)		Tridecanoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	56	Myristic acid (complete oxidation)		Myristic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	57	9E-tetradecenoic acid (complete oxidation)		9E-Tetradecenoic Acid (N-C14:1)[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	58	7Z-tetradecenoic acid (complete oxidation)		7Z-tetradecenoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	59	Physeteric acid (complete oxidation)		5Z-Tetradecenoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	60	Pentadecylic acid (complete oxidation)		Pentadecanoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	61	Palmitate (complete oxidation)		Palmitic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	62	Palmitolate (complete oxidation)		Palmitoleic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	63	7-palmitoleic acid (complete oxidation)		(E)-6-Hexadecenoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	64	Margaric acid (complete oxidation)		Heptadecanoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	65	10Z-heptadecenoic acid (complete oxidation)		10Z-Heptadecenoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	66	9-heptadecylenic acid (complete oxidation)		(Z)-9-Heptadecenoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	67	Stearate (complete oxidation)		Stearic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	68	13Z-octadecenoic acid (complete oxidation)		(Z)-13-Octadecenoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	69	cis-vaccenic acid (complete oxidation)		Vaccenic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	70	Oleate (complete oxidation)		Oleic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	71	Elaidate (complete oxidation)		Elaidic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	72	7Z-octadecenoic acid (complete oxidation)		7Z-octadecenoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	73	6Z,9Z-octadecadienoic acid (complete oxidation)		Linoelaidic Acid (All Trans C18:2)[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	74	Nonadecylic acid (complete oxidation)		Nonadecanoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	75	Eicosanoate (complete oxidation)		Arachidic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	76	13Z-Eicosenoic acid (complete oxidation)		Paullinic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	77	cis-gondoic acid (complete oxidation)		Eicosenoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	78	9-Eicosenoic acid (complete oxidation)		9Z-eicosenoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	79	8,11-Eicosadienoic acid (complete oxidation)		8Z,11Z-Eicosadienoic Acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	80	Mead acid (complete oxidation)		5,8,11-Eicosatrienoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	81	Heneicosanoic acid (complete oxidation)		Heneicosanoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	82	Behenic acid (complete oxidation)		Behenic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	83	cis-erucic acid (complete oxidation)		Erucic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	84	cis-cetoleic acid (complete oxidation)		Cetoleic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	85	Tricosanoic acid (complete oxidation)		Tricosanoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	86	Lignocerate (complete oxidation)		Tetracosanoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	87	Nervonic acid (complete oxidation)		Nervonic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	88	Cerotic acid (complete oxidation)		Hexacosanoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	89	Ximenic acid (complete oxidation)		17Z-hexacosenoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	90	Linolenate (complete oxidation)		Alpha-Linolenic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	91	Stearidonic acid (complete oxidation)		Stearidonic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	92	omega-3-Arachidonic acid (complete oxidation)		"""Cis-8,11,14,17-Eicosatetraenoic acid""[e]"	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	93	EPA (complete oxidation)		Eicosapentaenoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	94	DPA (complete oxidation)		Docosapentaenoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	95	9Z,12Z,15Z,18Z,21Z-TPA (complete oxidation)		"""9Z,12Z,15Z,18Z,21Z-Tetracosapentaenoic Acid""[e]"	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	96	6Z,9Z,12Z,15Z,18Z,21Z-THA (complete oxidation)		"""6,9,12,15,18,21-Tetracosahexaenoic acid""[e]"	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	97	DHA (complete oxidation)		Docosahexaenoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	98	11Z,14Z,17Z-eicosatrienoic acid (complete oxidation)		11,14,17-Eicosatrienoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	99	13,16,19-docosatrienoic acid (complete oxidation)		Docosatrienoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	100	10,13,16,19-docosatetraenoic acid (complete oxidation)		10Z,13Z,16Z,19Z-Docosatetraenoic Acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	101	12,15,18,21-tetracosatetraenoic acid (complete oxidation)		12Z,15Z,18Z,21Z-Tetracosatetraenoic Acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	102	Linoleate (complete oxidation)		Linoleic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	103	gamma-Linolenate (complete oxidation)		Gamma-Linolenic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	104	Dihomo-gamma-linolenate (complete oxidation)		"""8,11,14-Eicosatrienoic acid""[e]"	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	105	Arachidonate (complete oxidation)		Arachidonic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	106	Adrenic acid (complete oxidation)		Adrenic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	107	9Z,12Z,15Z,18Z-TTA (complete oxidation)		"""9Z,12Z,15Z,18Z-Tetracosatetraenoic Acid""[e]"	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	108	6Z,9Z,12Z,15Z,18Z-TPA (complete oxidation)		"""6Z,9Z,12Z,15Z,18Z-Tetracosapentaenoic Acid""[e]"	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	109	4Z,7Z,10Z,13Z,16Z-DPA (complete oxidation)		"""(4Z,7Z,10Z,13Z,16Z)-Docosa-4,7,10,13,16-Pentaenoic Acid""[e]"	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	110	11Z,14Z-eicosadienoic acid (complete oxidation)		Eicosadienoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	111	13Z,16Z-docosadienoic acid (complete oxidation)		13Z,16Z-docosadienoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	112	10,13,16-docosatriynoic acid (complete oxidation)		10Z,13Z,16Z-Docosatriynoic Acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	113	Oxidative phosphorylation		Succinic acid[m]	1.0	1.0	Fumaric acid[m]	1.0	1.0	Adenosine triphosphate[m] + Water[m] => ADP[m] + Phosphate[m]	1.0						
				NADH[m];Hydrogen Ion[m]	1.0	1.0	NAD[m]	1.0	1.0								
				Oxygen[e]			Water[e]										
	114	Oxidative decarboxylation		Pyruvic acid[m];NAD[m];Coenzyme A[m]	1.0	1.0	Acetyl-CoA[m];NADH[m];Hydrogen Ion[m];Carbon dioxide[e]	1.0	1.0								
	115	Ubiquinol-to-proton		QH2[m]	1.0	1.0	Ubiquinone-1[m]	1.0	1.0								
				Oxygen[e];Hydrogen Ion[m]			Water[e]										
							Hydrogen Ion[c]	6.0									
	116	Ubiquinol-to-ATP		QH2[m]		10.0	ALLMETS			Adenosine triphosphate[m] + Water[m] => ADP[m] + Phosphate[m]	1.0						
				Water[e];Oxygen[e];Chloride ion[e];Ammonia[e];Calcium[e];iodide[e];zn2[e];sulfate[e];Fe2+[e];Sodium[e];Potassium[e];Phosphate[e]			Ubiquinone-1[m]	1.0	1.0								
	117	Phosphate dependent glutaminase 		L-Glutamine[e]			L-Glutamic acid[e]										
				Water[e]			Ammonia[e]										
	118	aspartate aminotransferase		D-Aspartate[c]	1.0		Oxalacetic acid[c]										
				Oxoglutaric acid[c]			L-Glutamic acid[c]										
	119	alanine aminotransferase 		L-Alanine[e]			Pyruvic acid[e]										
