1	ID	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB	EQU	EQU LB	EQU UB	CHANGED RXN	CHANGED LB	CHANGED UB	PRINT FLUX	COMMENTS
	53.0	Isoleucine de novo synthesis (minimal substrates, minimal excretion)	1.0	Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							L-Isoleucine[c]	1.0									
	54.0	Isoleucine uptake		L-Isoleucine[e]	1.0	1.0	L-Isoleucine[c]	1.0									
	55.0	Leucine de novo synthesis (minimal substrates, minimal excretion)	1.0	Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							L-Leucine[c]	1.0									
	56.0	Leucine uptake		L-Leucine[e]	1.0	1.0	L-Leucine[c]	1.0									
	57.0	Lysine de novo synthesis (minimal substrates, minimal excretion)	1.0	Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							L-Lysine[c]	1.0									
	58.0	Lysine uptake		L-Lysine[e]	1.0	1.0	L-Lysine[c]	1.0									
	59.0	Methionine de novo synthesis (minimal substrates, minimal excretion)	1.0	Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							L-Methionine[c]	1.0									
	60.0	Methionine uptake		L-Methionine[e]	1.0	1.0	L-Methionine[c]	1.0									
	61.0	Phenylalanine de novo synthesis (minimal substrates, minimal excretion)	1.0	Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							L-Phenylalanine[c]	1.0									
	62.0	Phenylalanine uptake		L-Phenylalanine[e]	1.0	1.0	L-Phenylalanine[c]	1.0									
	63.0	Threonine de novo synthesis (minimal substrates, minimal excretion)	1.0	Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							L-Threonine[c]	1.0									
	64.0	Threonine uptake		L-Threonine[e]	1.0	1.0	L-Threonine[c]	1.0									
	65.0	Tryptophan de novo synthesis (minimal substrates, minimal excretion)	1.0	Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							L-Tryptophan[c]	1.0									
	66.0	Tryptophan uptake		L-Tryptophan[e]	1.0	1.0	L-Tryptophan[c]	1.0									
	67.0	Valine de novo synthesis (minimal substrates, minimal excretion)	1.0	Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							L-Valine[c]	1.0									
	68.0	Valine uptake		L-Valine[e]	1.0	1.0	L-Valine[c]	1.0									
	69.0	Cysteine de novo synthesis (minimal substrates, minimal excretion)	1.0	Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e];sulfate[e]			Water[e];Carbon dioxide[e]										
							L-Cysteine[e]	1.0									
	70.0	Cysteine de novo synthesis (minimal substrates and AA, minimal excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e];sulfate[e];L-Histidine[e];L-Isoleucine[e];L-Leucine[e];L-Lysine[e];L-Methionine[e];L-Phenylalanine[e];L-Threonine[e];L-Tryptophan[e]			Water[e];Carbon dioxide[e]										
							L-Cysteine[e]	1.0									
	71.0	Cystine de novo synthesis (minimal substrates, minimal excretion)	1.0	Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e];sulfite[e]			Water[e];Carbon dioxide[e]										
							L-Cystine[c]	1.0									
	72.0	Tyrosine de novo synthesis (minimal substrates, minimal excretion)	1.0	Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							L-Tyrosine[e]	1.0									
	73.0	Tyrosine de novo synthesis (minimal substrates with AA, minimal excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e];sulfate[e];L-Histidine[e];L-Isoleucine[e];L-Leucine[e];L-Lysine[e];L-Methionine[e];L-Phenylalanine[e];L-Threonine[e];L-Tryptophan[e]			Water[e];Carbon dioxide[e]										
							L-Tyrosine[e]	1.0									
	74.0	Homocysteine de novo synthesis (minimal substrates, minimal excretion)	1.0	Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							Homocysteine[c]	1.0									
	75.0	Homocysteine de novo synthesis (minimal substrates with AA, minimal excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e];sulfate[e];L-Histidine[e];L-Isoleucine[e];L-Leucine[e];L-Lysine[e];L-Methionine[e];L-Phenylalanine[e];L-Threonine[e];L-Tryptophan[e]			Water[e];Carbon dioxide[e]										
							Homocysteine[c]	1.0									
	76.0	beta-Alanine de novo synthesis (minimal substrates, minimal excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							beta-Alanine[e]	1.0									
	77.0	Alanine degradation		L-Alanine[e];Oxygen[e]		1.0	Water[e];Carbon dioxide[e];Urea[e]										
	78.0	Arginine degradation		L-Arginine[e];Oxygen[e]		1.0	Water[e];Carbon dioxide[e];Urea[e]										
	79.0	Asparagine degradation		L-Asparagine[e];Oxygen[e]		1.0	Water[e];Carbon dioxide[e];Urea[e]										
	80.0	Aspartate degradation		D-Aspartate[e];Oxygen[e]		1.0	Water[e];Carbon dioxide[e];Urea[e]										
	81.0	Cysteine degradation		L-Cysteine[e];Oxygen[e]		1.0	Water[e];Carbon dioxide[e];Urea[e];Hydrogen sulfide[e]										
	82.0	Glutamate degradation		L-Glutamic acid[e];Oxygen[e]		1.0	Water[e];Carbon dioxide[e];Urea[e]										
	83.0	Glycine degradation		Glycine[e];Oxygen[e]		1.0	Water[e];Carbon dioxide[e];Urea[e]										
	84.0	Histidine degradation		L-Histidine[e];Oxygen[e]		1.0	Water[e];Carbon dioxide[e];Urea[e]										
	85.0	Isoleucine degradation		L-Isoleucine[e];Oxygen[e]		1.0	Water[e];Carbon dioxide[e];Urea[e]										
	86.0	Glutamine degradation		L-Glutamine[e];Oxygen[e]		1.0	Water[e];Carbon dioxide[e];Urea[e]										
	87.0	Leucine degradation		L-Leucine[e];Oxygen[e]		1.0	Water[e];Carbon dioxide[e];Urea[e]										
	88.0	Lysine degradation		L-Lysine[e];Oxygen[e]		1.0	Water[e];Carbon dioxide[e];Urea[e]										
	89.0	Methionine degradation		L-Methionine[e];Oxygen[e]		1.0	Water[e];Carbon dioxide[e];Urea[e];Hydrogen sulfide[e]										
	90.0	Phenylalanine degradation		L-Phenylalanine[e];Oxygen[e]		1.0	Water[e];Carbon dioxide[e];Urea[e]										
	91.0	Proline degradation		L-Proline[e];Oxygen[e]		1.0	Water[e];Carbon dioxide[e];Urea[e]										
	92.0	Serine degradation		L-Serine[e];Oxygen[e]		1.0	Water[e];Carbon dioxide[e];Urea[e]										
	93.0	Threonine degradation		L-Threonine[e];Oxygen[e]		1.0	Water[e];Carbon dioxide[e];Urea[e]										
	94.0	Tryptophan degradation		L-Tryptophan[e];Oxygen[e]		1.0	Water[e];Carbon dioxide[e];Urea[e]										
	95.0	Tyrosine degradation		L-Tyrosine[e];Oxygen[e]		1.0	Water[e];Carbon dioxide[e];Urea[e]										
	96.0	Valine degradation		L-Valine[e];Oxygen[e]		1.0	Water[e];Carbon dioxide[e];Urea[e]										
	97.0	Homocysteine degradation		Homocysteine[c];Oxygen[e]		1.0	Water[e];Carbon dioxide[e];Urea[e];Hydrogen sulfide[e]										
	98.0	Ornithine degradation		Ornithine[e]		1.0	Urea[e]	1.0									
				Oxygen[e]			Water[e];Carbon dioxide[e]										
	99.0	beta-Alanine degradation		beta-Alanine[e];Oxygen[e]		1.0	Water[e];Carbon dioxide[e];Urea[e]										
	100.0	Urea from alanine		L-Alanine[e]		2.0	Water[e];Carbon dioxide[e]										
				Oxygen[e]			Urea[e]	1.0									
	101.0	Urea from glutamine		L-Glutamine[e]		1.0	Water[e];Carbon dioxide[e]										
				Oxygen[e]			Urea[e]	1.0									
	102.0	Creatine de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							creatine[e]	1.0									
	103.0	Heme de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e];Fe2+[e]			Water[e];Carbon dioxide[e]										
							Heme[e]	1.0									
	104.0	PC de novo synthesis (physiological substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Phosphate[e];Linoleic acid[e];Alpha-Linolenic acid[e];Choline[e];L-Isoleucine[c]			Water[e];Carbon dioxide[e];Urea[e]										
							Phosphatidylcholine[c]	1.0									
	105.0	PE de novo synthesis (physiological substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Phosphate[e];Linoleic acid[e];Alpha-Linolenic acid[e];Ethanolamine[c]			Water[e];Carbon dioxide[e]										
							Phosphatidylethanolamine[c]	1.0									
	106.0	PS de novo synthesis (physiological substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Phosphate[e];Linoleic acid[e];Alpha-Linolenic acid[e];Choline[e]			Water[e];Carbon dioxide[e]										
							Phosphatidylserine[c]	1.0									
	107.0	PI de novo synthesis (physiological substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Phosphate[e];Linoleic acid[e];Alpha-Linolenic acid[e];myo-Inositol[e]			Water[e];Carbon dioxide[e]										
							1-Phosphatidyl-1D-Myo-Inositol[c]	1.0									
	108.0	Cardiolipin de novo synthesis (physiological substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Phosphate[e];Linoleic acid[e];Alpha-Linolenic acid[e];Choline[e]			Water[e];Carbon dioxide[e]										
							Cardiolipin[c]	1.0									
	109.0	SM de novo synthesis (physiological substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Phosphate[e];Linoleic acid[e];Alpha-Linolenic acid[e];Choline[e]			Water[e];Carbon dioxide[e]										
							Sphingomyelin[c]	1.0									
	110.0	Ceramide de novo synthesis (physiological substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Phosphate[e];Linoleic acid[e];Alpha-Linolenic acid[e];Choline[e]			Water[e];Carbon dioxide[e]										
							N-Acylsphingosine[c]	1.0									
	111.0	Lactosylceramide de novo synthesis (physiological substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Phosphate[e];Linoleic acid[e];Alpha-Linolenic acid[e];Choline[e]			Water[e];Carbon dioxide[e]										
							Lactosylceramide (d18:1/12:0)[c]	1.0									
	112.0	CoA de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e];L-Methionine[e];Pantothenic acid[e]			Coenzyme A[c]	1.0									
