Unnamed: 0	ID	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB	EQU	EQU LB	EQU UB	CHANGED RXN	CHANGED LB	CHANGED UB	PRINT FLUX	COMMENTS
	60.0	Putrescine synthesis		O2[e];NH3[e];glucose[e]			H2O[e];CO2[e];urea[e]										
							Putrescine[c]	1.0									
	61.0	NADH synthesis from glucose degradation		O2[e];glucose[e];NH3[e];Pi[e];nicotinamide[e]			NADH[c]	1.0									
							H2O[e];CO2[e]										
	62.0	NADPH synthesis from glucose degradation		O2[e];glucose[e];NH3[e];Pi[e];nicotinamide[e]			NADPH[c]	1.0									
							H2O[e];CO2[e]										
	63.0	NADH synthesis from glucose degradation		O2[e];glucose[e];NH3[e];Pi[e];nicotinamide[e]			NADH[c]	1.0									
							H2O[e];CO2[e]										
	64.0	NADPH synthesis from glucose degradation		O2[e];glucose[e];NH3[e];Pi[e];nicotinamide[e]			NADPH[c]	1.0									
							H2O[e];CO2[e]										
	65.0	Anaerobic glycolysis		glucose-6-phosphate[c]			pyruvate[c];H2O[e];CO2[e]										
	66.0	Aerobic glycolysis		glucose-6-phosphate[c];O2[e]			pyruvate[c];H2O[e];CO2[e]										
	67.0	Glycogen synthesis		glucose[e]	11.0	11.0	H2O[e];CO2[e]			ATP[c] + H2O[c] <=> ADP[c] + Pi[c]							
				glycogenin[c]	1.0	1.0	glycogenin G11[c]	1.0		NADH[c] <=> NAD+[c]							
				O2[e]													
	68.0	Thioredoxin oxidation		thioredoxin[c];glucose[e];O2[e]			H2O[e];CO2[e]										
							oxidized thioredoxin[c]	1.0									
	69.0	Thioredoxin_oxidation_negativetest		thioredoxin[c];glucose[e];O2[e]			H2O[e];CO2[e]										
							oxidized thioredoxin[c]	1.0									
	70.0	Thioredoxin reduction		oxidized thioredoxin[c];glucose[e];O2[e]			H2O[e];CO2[e]										
							thioredoxin[c]	1.0									
	71.0	Thioredoxin_reduction_negativetest		oxidized thioredoxin[c];glucose[e];O2[e]			H2O[e];CO2[e]										
							thioredoxin[c]	1.0									
	72.0	Adenine synthesis		glucose[e];O2[e];NH3[e]			H2O[e];CO2[e];urea[e]										
							adenine[c]	1.0									
	73.0	ADP synthesis, cytosol		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e];urea[e]										
							ADP[c]	1.0									
	74.0	AMP synthesis, cytosol		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e];urea[e]										
							AMP[c]	1.0									
