Met_id	Met_old_id	Met_name	Met_compartment	Met_charge	Met_formula
sIEC_MAM02770bpI	sIEC_pro_L[bpI]	L-Proline	bpI	0	C5H9NO2
sIEC_MAM01397bpI	sIEC_bildglcur[bpI]	Bilirubin diglucuronide	bpI	-2	C45H50N4O18
sIEC_MAM01401bpI	sIEC_btn[bpI]	Biotin	bpI	-1	C10H15N2O3S
sIEC_MAM01450bpI	sIEC_chsterol[bpI]	Cholesterol	bpI	0	C27H46O
sIEC_MAM01445bpI	sIEC_cholate[bpI]	Cholic acid	bpI	-1	C24H39O5
sIEC_MAM01513bpI	sIEC_chol[bpI]	Choline	bpI	1	C5H14NO
sIEC_MAM01588bpI	sIEC_citr_L[bpI]	Citrulline	bpI	0	C6H13N3O3
sIEC_MAM01596bpI	sIEC_co2[bpI]	Carbon dioxide	bpI	0	CO2
sIEC_MAM01595bpI	sIEC_co[bpI]	Carbon monoxide	bpI	0	CO
sIEC_MAM02348bpI	sIEC_crn[bpI]	L-Carnitine	bpI	0	C7H15NO3
sIEC_MAM01630bpI	sIEC_cytd[bpI]	Cytidine	bpI	0	C9H13N3O5
sIEC_MAM01666bpI	sIEC_dad_2[bpI]	Deoxyadenosine	bpI	0	C10H13N5O3
sIEC_MAM01668bpI	sIEC_dcyt[bpI]	Deoxycytidine	bpI	0	C9H13N3O4
sIEC_MAM01669bpI	sIEC_dgsn[bpI]	Deoxyguanosine	bpI	0	C10H13N5O4
sIEC_MAM01655bpI	sIEC_dhdascb[bpI]	Dehydroascorbic acid	bpI	0	C6H6O6
sIEC_MAM01671bpI	sIEC_din[bpI]	Deoxyinosine	bpI	0	C10H12N4O4
sIEC_MAM01673bpI	sIEC_duri[bpI]	Deoxyuridine	bpI	0	C9H12N2O5
sIEC_MAM01115bpI	sIEC_5mthf[bpI]	5-Methyltetrahydrofolic acid	bpI	-1	C20H24N7O6
sIEC_MAM03933bpI	sIEC_slfcys[bpI]	Cysteine-S-sulfate	bpI	-1	C3H8NO5S2
