Metabolite	Measured	Predicted	Cell.Line
ornithine	0.001458248	2.95102953665822e-07	UO_31
pyruvate	5.61e-08	0.0	UO_31
L-lactate	0.767588362	0.0459180332047988	UO_31
folate	-9.39e-06	-8.10086539474873e-08	UO_31
AKG	6.34e-06	0.0	UO_31
L-carnitine	1.17e-06	0.0	UO_31
biomass	0.013033577	0.0011181318695304	UO_31
glucose	-0.479477546	-0.0351119952170929	MDMAMB_231
isoleucine	-0.005568708	-0.0003169329116221	MDMAMB_231
leucine	-0.006592535	-0.0006463399414159	MDMAMB_231
lysine	-0.006015855	-0.0005068966951078	MDMAMB_231
methionine	-0.001426579	-0.0001586049540454	MDMAMB_231
phenylalanine	-0.00220937	-0.0002680758007443	MDMAMB_231
threonine	-0.004979441	-0.000401740031759	MDMAMB_231
tryptophan	-0.00035138	-6.94675562029838e-05	MDMAMB_231
valine	-0.004841612	-0.0017130085690581	MDMAMB_231
alanine	0.018852115	0.0652326864504823	MDMAMB_231
asparagine	-0.001988739	-0.0002641486356076	MDMAMB_231
glutamine	-0.078432974	-0.0016867577053838	MDMAMB_231
tyrosine	-0.003180849	-0.0002008534292204	MDMAMB_231
arginine	-0.007139201	-0.0029666292910616	MDMAMB_231
glycine	0.006385996	0.0060328776126785	MDMAMB_231
proline	0.001436971	-0.000362721085852	MDMAMB_231
serine	-0.016568732	-0.0717876074651601	MDMAMB_231
aspartate	-0.00113204	-3.94195911851302e-05	MDMAMB_231
glutamate	0.00917449	0.0	MDMAMB_231
choline	-0.000990661	-0.0001642254032011	MDMAMB_231
ornithine	0.001948405	0.0005229982954078	MDMAMB_231
pyruvate	5.85e-08	0.0	MDMAMB_231
L-lactate	0.743240244	0.0006502249506211	MDMAMB_231
folate	8.43e-07	-0.0065649102569387	MDMAMB_231
AKG	4.48e-06	0.0	MDMAMB_231
L-carnitine	-5.56e-06	0.0	MDMAMB_231
biomass	0.010926773	0.0013158977136819	MDMAMB_231
glucose	-0.26705905	-0.0343190565648222	HOP62
isoleucine	-0.003331967	-0.0002621679390158	HOP62
leucine	-0.004904579	-0.0005346545093009	HOP62
lysine	-0.006186391	-0.0004193066007888	HOP62
methionine	-0.001965335	-0.0001311985356994	HOP62
phenylalanine	-0.002257474	-0.0002217531774199	HOP62
threonine	-0.005240142	-0.0003323206656177	HOP62
tryptophan	-0.000467773	-5.74637892448273e-05	HOP62
valine	-0.005347229	-0.0004022006381835	HOP62
alanine	0.009601013	-0.0004866392469528	HOP62
asparagine	-0.001628876	-0.000725938777126	HOP62
glutamine	-0.091938612	-0.0004363068629709	HOP62
tyrosine	-0.00311885	-0.0001661466122703	HOP62
arginine	-0.001574063	-0.0002982587929377	HOP62
glycine	0.002939872	-0.0004999861917321	HOP62
proline	0.001361038	-0.0002728475847239	HOP62
serine	-0.017833616	-0.0004641273005403	HOP62
aspartate	-0.006761827	0.0	HOP62
glutamate	0.016202008	-0.0005535552011416	HOP62
choline	-0.000451292	-0.0001358477895871	HOP62
ornithine	0.001635996	0.0	HOP62
pyruvate	3.08e-08	0.0013031910749381	HOP62
L-lactate	0.317551752	0.0647819697708886	HOP62
folate	-3.16e-06	-4.50645162004101e-08	HOP62
AKG	8.71e-06	0.0	HOP62
L-carnitine	-2.19e-05	0.0	HOP62
biomass	0.011473383	0.0010885148840678	HOP62
glucose	-0.398649261	-0.0505205273635095	NCI_H226
isoleucine	-0.007996597	-0.0003855797863224	NCI_H226
leucine	-0.009283825	-0.0007863355535633	NCI_H226
lysine	-0.009191799	-0.0006166892494278	NCI_H226
methionine	-0.00289763	-0.0001929583897661	NCI_H226
phenylalanine	-0.003408873	-0.0003261403476217	NCI_H226
threonine	-0.007183311	-0.0004871850001307	NCI_H226
tryptophan	-0.000944004	-8.45140548515276e-05	NCI_H226
valine	-0.007691297	-0.0019685578427821	NCI_H226
alanine	0.012695001	0.0922155606307315	NCI_H226
asparagine	-0.001922615	-0.0003213625683544	NCI_H226
glutamine	-0.094750789	-0.0021272848465023	NCI_H226
tyrosine	-0.004976546	-0.0002443577788263	NCI_H226
arginine	-0.00338457	-0.0004386598989999	NCI_H226
glycine	0.000604886	0.0181485619314525	NCI_H226
proline	0.002203858	-0.0007972797082284	NCI_H226
serine	-0.021499214	-0.111769252628196	NCI_H226
aspartate	0.002611711	0.0	NCI_H226
glutamate	0.01664521	0.0	NCI_H226
choline	-0.001591875	-0.000199796214129	NCI_H226
ornithine	-0.001200326	0.0003554639198471	NCI_H226
pyruvate	4.95e-08	0.0	NCI_H226
L-lactate	0.552731028	0.0025365119689469	NCI_H226
folate	-6.98e-06	-0.0193421244824384	NCI_H226
AKG	2.8e-06	0.0	NCI_H226
L-carnitine	-1.2e-05	0.0	NCI_H226
biomass	0.018027769	0.0016009178619751	NCI_H226
glucose	-0.594208072	-0.0292240804095417	HOP92
isoleucine	-0.007304317	-0.0002190369437138	HOP92
leucine	-0.00911516	-0.0004466355125567	HOP92
lysine	-0.013165857	-0.000350297376871	HOP92
methionine	-0.002318728	-0.0001099058493813	HOP92
phenylalanine	-0.003510565	-0.0001852074126923	HOP92
threonine	-0.008527731	-0.0002774306368958	HOP92
tryptophan	-0.000954767	-4.79935388225666e-05	HOP92
valine	-0.009105286	-0.0003671639815643	HOP92
