Gene_id	Biomarker	Exp_(abnormal/normal)	Simulation	Comparation
ENSG00000124253	m01365	decrease	1.0362	0
ENSG00000159423	m02770	increase	-0.0	0
ENSG00000110921	m00167	increase	No_result	No_result
ENSG00000100033	m02770	increase	-0.0	0
ENSG00000101846	m01787	decrease	1618.6369	0
ENSG00000140459	m02200	increase	No_result	No_result
ENSG00000239900	m02872	increase	No_result	No_result
ENSG00000103150	adpac_	increase	458.8437	1
ENSG00000173599	m02579	increase	0.1552	1
ENSG00000126522	m01588	decrease	0.3589	0
ENSG00000100024	m01705	increase	162.4756	1
ENSG00000183044	m01383	increase	0.0	0
ENSG00000213930	m01910	decrease	0.0877	0
ENSG00000117305	adpac_	increase	-0.0	0
ENSG00000091140	m03135	increase	0.0	0
ENSG00000070915	m02200	decrease	No_result	No_result
ENSG00000103507	m02360	decrease	0.0	0
ENSG00000101276	m02842	decrease	-0.0	0
ENSG00000100024	m00922	increase	163.4942	1
ENSG00000125454	m01580	increase	0.0	0
ENSG00000134240	m02819	decrease	-0.0	0
ENSG00000248098	m02360	increase	18.6825	1
ENSG00000084754	m02579	increase	-0.0	0
ENSG00000151611	m02479	increase	No_result	No_result
ENSG00000144182	m01862	increase	0.0	0
ENSG00000125454	m02403	increase	0.0	0
ENSG00000147647	m00923	increase	-1.0	0
ENSG00000116984	m02471	increase	0.0	0
ENSG00000091140	m02770	increase	0.0	0
ENSG00000103507	m01013	decrease	0.0	0
ENSG00000127948	m00409	increase	-0.0	0
ENSG00000183032	m00670	increase	-0.0	0
ENSG00000183032	adpoh_	increase	-0.0	0
ENSG00000078070	3ivcrn_	increase	17.6879	1
ENSG00000078070	m00825	increase	17.6879	1
ENSG00000078070	3hivac_	increase	17.6879	1
ENSG00000148090	3ivcrn_	increase	72.7872	1
ENSG00000132437	m02354	increase	350.9111	1
ENSG00000132437	m01107	increase	88.1009	1
ENSG00000132437	m01290	decrease	-1.0	1
ENSG00000132437	m01736	increase	-1.0	0
ENSG00000132437	m00830	increase	350.9111	1
ENSG00000132437	m02617	decrease	-1.0	1
ENSG00000132437	m00821	increase	-1.0	0
ENSG00000171766	m01619	decrease	-1.0	1
ENSG00000171766	m02036	decrease	-1.0	1
ENSG00000243989	m02536	increase	2357.2409	1
ENSG00000243989	acgly_	increase	1812.7231	1
ENSG00000118520	m01366	increase	450.4085	1
ENSG00000118520	m02659	increase	385.9869	1
ENSG00000118520	m03118	increase	385.9869	1
ENSG00000118520	m01619	increase	450.4085	1
ENSG00000118520	m01365	increase	450.4085	1
ENSG00000118520	m02036	increase	450.4085	1
ENSG00000126522	m01366	increase	-0.0	0
ENSG00000126522	m01986	increase	0.1821	1
ENSG00000126522	m02659	increase	0.1821	1
ENSG00000126522	m02426	increase	0.0	0
ENSG00000126522	m03118	increase	0.1821	1
ENSG00000126522	m01975	increase	0.1821	1
ENSG00000070669	m01369	decrease	7.5102	0
ENSG00000070669	m01975	increase	341.8713	1
ENSG00000169814	3ivcrn_	increase	98.306	1
ENSG00000169814	m01253	increase	103.9936	1
ENSG00000169814	m01256	increase	103.9936	1
ENSG00000169814	m00157	increase	89.5668	1
ENSG00000169814	m02403	increase	248.4985	1
ENSG00000169814	m02579	increase	0.1269	1
ENSG00000169814	m02142	increase	342.276	1
ENSG00000169814	m00825	increase	24.3315	1
ENSG00000169814	m00665	increase	211.3801	1
ENSG00000130707	m01588	increase	81.4717	1
ENSG00000130707	m01986	increase	242.8002	1
ENSG00000130707	m02579	increase	0.1269	1
ENSG00000130707	m02659	increase	643.6301	1
ENSG00000179142	m01309	decrease	-1.0	1
ENSG00000021826	m02426	increase	21.6241	1
ENSG00000021826	m03118	increase	136.4772	1
ENSG00000021826	m01127	increase	136.4772	1
ENSG00000021826	m01588	decrease	10.4429	0
ENSG00000021826	m01975	increase	136.4772	1
ENSG00000231852	m01309	increase	-1.0	0
ENSG00000231852	m01615	decrease	-1.0	1
ENSG00000231852	m02769	increase	742.1992	1
ENSG00000231852	m00971	increase	741.3163	1
ENSG00000231852	m01338	increase	736.0483	1
ENSG00000231852	m01660	increase	736.0483	1
ENSG00000116133	m01675	increase	3557.9775	1
ENSG00000114956	m02403	increase	3.96	1
ENSG00000147647	m02997	increase	164.5127	1
ENSG00000147647	m03118	increase	138.0307	1
ENSG00000147647	m01052	increase	135.9936	1
ENSG00000147647	m01705	increase	162.4756	1
ENSG00000138030	m01840	increase	12.367	1
ENSG00000213398	m01450	decrease	192.6352	0
ENSG00000213398	m02959	increase	No_result	No_result
ENSG00000160282	m02574	increase	-0.8309	0
ENSG00000105607	c5dc_	increase	56.3934	1
ENSG00000065154	m01365	increase	12.3968	1
ENSG00000065154	m01975	decrease	-0.0	0
ENSG00000065154	m01974	decrease	0.0	0
ENSG00000065154	m02426	decrease	-0.0	0
ENSG00000065154	m02658	increase	12.3968	1
ENSG00000130005	m01619	decrease	No_result	No_result
ENSG00000130005	m01621	increase	No_result	No_result
ENSG00000130005	m03120	increase	-0.0	0
ENSG00000130005	m02036	increase	0.0	0
ENSG00000160200	m02471	increase	-0.0	0
ENSG00000160200	m02658	increase	36.6845	1
ENSG00000160200	Lhcystin_	increase	18.6968	1
ENSG00000160200	m02133	increase	18.4071	1
ENSG00000160200	m02349	decrease	-1.0	1
ENSG00000084110	m02124	increase	10.2606	1
ENSG00000084110	m02166	increase	10.2606	1
ENSG00000084110	m02125	increase	10.2606	1
ENSG00000008311	m02413	increase	82.7597	1
ENSG00000008311	m01588	increase	-0.0	0
ENSG00000008311	m02426	increase	82.7597	1
ENSG00000117305	c6dc_	increase	0.0	0
ENSG00000159423	m01986	increase	-0.0	0
ENSG00000159423	m02658	increase	-0.0	0
ENSG00000135697	m01385	increase	No_result	No_result
ENSG00000100033	m01986	increase	0.0	0
ENSG00000105552	m03135	increase	9.6199	1
ENSG00000105552	m02360	increase	9.4757	1
ENSG00000128928	3bcrn_	increase	0.0	0
ENSG00000128928	3ivcrn_	increase	No_result	No_result
ENSG00000128928	ivcrn_	increase	0.0	0
ENSG00000165704	m01830	decrease	-0.0	0
ENSG00000165704	m03120	increase	0.0	0
ENSG00000146085	m02325	increase	213.2328	1
ENSG00000146085	c4dc_	increase	14.9018	1
ENSG00000146085	m02348	decrease	10.6009	0
ENSG00000146085	m02479	increase	324.8159	1
ENSG00000146085	m02142	increase	136.129	1
ENSG00000146085	m02657	increase	26.4744	1
ENSG00000146085	3hdececrn_	increase	21.8623	1
ENSG00000248098	m03135	increase	18.9535	1
ENSG00000248098	m00669	increase	19.2007	1
ENSG00000161653	m01307	increase	136.4772	1
ENSG00000161653	m01588	decrease	52.4543	0
ENSG00000161653	m01975	increase	136.4772	1
ENSG00000036473	m01127	increase	0.0	0
ENSG00000036473	m01588	decrease	-0.0	0
ENSG00000036473	m01975	increase	-0.0	0
ENSG00000036473	m01986	increase	0.0	0
ENSG00000036473	m02426	increase	0.0	0
ENSG00000036473	m02659	increase	-0.0	0
ENSG00000036473	m03118	increase	0.0	0
ENSG00000036473	m02579	increase	0.0	0
