Gene_id	Biomarker	Exp_(abnormal/normal)	Simulation	Comparation
ENSG00000100983	MAM02369	increase	-1.0	0
ENSG00000100983	MAM02366	increase	-1.0	0
ENSG00000100983	MAM02418	increase	-1.0	0
ENSG00000173599	MAM01253	increase	3.5512	1
ENSG00000173599	MAM01256	increase	3.5512	1
ENSG00000173599	MAM01306	increase	3.5523	1
ENSG00000173599	MAM01307	increase	1.4924	1
ENSG00000173599	MAM01588	increase	3.6027	1
ENSG00000173599	MAM02426	increase	3.5919	1
ENSG00000173599	MAM02770	increase	3.6027	1
ENSG00000173599	MAM02943	increase	3.4115	1
ENSG00000173599	MAM01965	decrease	3.6027	0
ENSG00000173599	MAM01862	increase	3.5737	1
ENSG00000172482	MAM02007	increase	474.7246	1
ENSG00000171759	MAM02724	increase	0.2285	1
ENSG00000171759	MAM00654	increase	198.4564	1
ENSG00000112294	MAM01986	increase	123.775	1
ENSG00000112294	MAM02942	increase	120.8252	1
ENSG00000112294	MAM00970	increase	123.7725	1
ENSG00000131979	MAM02724	increase	0.0	0
ENSG00000103876	MAM02471	increase	64.7333	1
ENSG00000103876	MAM01004	increase	74.1546	1
ENSG00000103876	MAM01005	increase	73.3769	1
ENSG00000158104	MAM01004	increase	87.3628	1
ENSG00000158104	MAM01005	increase	91.4947	1
ENSG00000158125	MAM02159	increase	462.0616	1
ENSG00000158125	MAM03148	increase	76.1549	1
