rxns	formulas	model_ranges	ecModel_ranges	subSystems
HMR_4383	fructose-6-phosphate[c] <=> mannose-6-phosphate[c]	737.604256322842	0.00831703550690088	Fructose and mannose metabolism
HMR_4385	mannose-6-phosphate[c] => mannose-1-phosphate[c]	632.232219705229	0.000889103623799604	Fructose and mannose metabolism
HMR_4386	GDP[c] + H+[c] + mannose-1-phosphate[c] => GDP-mannose[c] + Pi[c]	632.232219705295	0.000889103623799604	Fructose and mannose metabolism
HMR_4387	GTP[c] + H+[c] + mannose-1-phosphate[c] => GDP-mannose[c] + PPi[c]	613.896361077064	0.000881372257332768	Fructose and mannose metabolism
HMR_4399	GDP-mannose[c] => GDP-4-dehydro-6-deoxy-D-mannose[c] + H2O[c]	368.193861788911	0.000858848183112653	Fructose and mannose metabolism
HMR_4400	GDP-4-dehydro-6-deoxy-D-mannose[c] + H+[c] + NADH[c] => GDP-L-fucose[c] + NAD+[c]	368.193861788936	0.000858848183393337	Fructose and mannose metabolism
HMR_4401	GDP-L-fucose[c] + PPi[c] <=> GTP[c] + H+[c] + L-fucose-1-phosphate[c]	56.7387889479095	8.9487550170707e-05	Fructose and mannose metabolism
HMR_4402	6-deoxy-L-galactose[c] + ATP[c] <=> ADP[c] + H+[c] + L-fucose-1-phosphate[c]	56.7387889479096	8.94875502559557e-05	Fructose and mannose metabolism
HMR_4490	ATP[c] + mannose[c] => ADP[c] + H+[c] + mannose-6-phosphate[c]	632.232219705253	0.000801894258861183	Fructose and mannose metabolism
HMR_4706	fructose-2,6-bisphosphate[c] + H2O[c] => fructose-6-phosphate[c] + Pi[c]	1000	0.00502614299341136	Fructose and mannose metabolism
HMR_8768	GDP-4-dehydro-6-deoxy-D-mannose[c] + H+[c] + NADPH[c] => GDP-L-fucose[c] + NADP+[c]	368.193861788924	0.000858499422936319	Fructose and mannose metabolism
HMR_4590	H+[c] + L-xylulose[c] + NADPH[c] => NADP+[c] + xylitol[c]	1000	0.0248929205573508	Pentose and glucuronate interconversions
HMR_4591	NAD+[c] + xylitol[c] => H+[c] + L-xylulose[c] + NADH[c]	1000	0.0248929205430989	Pentose and glucuronate interconversions
HMR_4592	D-xylose[c] + H+[c] + NADPH[c] <=> NADP+[c] + xylitol[c]	1070.24802441169	0.0126701310511226	Pentose and glucuronate interconversions
HMR_4593	NAD+[c] + xylitol[c] => D-xylulose[c] + H+[c] + NADH[c]	1000	0.0130433411385993	Pentose and glucuronate interconversions
HMR_4595	ADP[c] + D-xylulose-5-phosphate[c] + H+[c] <=> ATP[c] + D-xylulose[c]	2000	0.0520855453638014	Pentose and glucuronate interconversions
HMR_8342	H+[c] + L-xylulose[c] + NADH[c] <=> L-arabitol[c] + NAD+[c]	1000	0.0209718590742826	Pentose and glucuronate interconversions
HMR_8344	glucuronate[r] + H+[r] + NADPH[r] <=> L-gulonate[r] + NADP+[r]	2000	0.0343279061675269	Pentose and glucuronate interconversions
HMR_8352	3-dehydro-L-gulonate[c] + H+[c] + NADH[c] <=> L-gulonate[c] + NAD+[c]	1070.2480244117	0.0250096576141689	Pentose and glucuronate interconversions
HMR_8353	3-dehydro-L-gulonate[c] + H+[c] <=> CO2[c] + L-xylulose[c]	1070.2480244117	0.025009657714583	Pentose and glucuronate interconversions
HMR_8727	H2O[c] + UDP-glucuronate[c] => D-glucuronate 1-phosphate[c] + 2 H+[c] + UMP[c]	737.604256322834	0.00293209818770672	Pentose and glucuronate interconversions
HMR_8728	D-glucuronate 1-phosphate[c] + H2O[c] => glucuronate[c] + Pi[c]	737.604256322834	0.00293209818770672	Pentose and glucuronate interconversions
HMR_8729	H2O[c] + UDP-glucuronate[c] => glucuronate[c] + H+[c] + UDP[c]	995.552970895529	0.031695160888381	Pentose and glucuronate interconversions
HMR_6537	glucuronate[c] + H+[c] + NADPH[c] <=> L-gulonate[c] + NADP+[c]	2000	0.0350207097135609	Pentose and glucuronate interconversions
HMR_1568	acetaldehyde[c] + H2O[c] + NAD+[c] => acetate[c] + 2 H+[c] + NADH[c]	1000	0.0509205760781584	Pyruvate metabolism
HMR_3853	GSH[c] + methylglyoxal[c] => (R)-S-lactoylglutathione[c]	1000	0.0613863230980149	Pyruvate metabolism
HMR_3854	H+[c] + methylglyoxal[c] + NADH[c] => lactaldehyde[c] + NAD+[c]	1000	0.0557988961021085	Pyruvate metabolism
HMR_3855	H+[c] + lactaldehyde[c] + NADPH[c] => NADP+[c] + propane-1,2-diol[c]	1000	0.115175382649676	Pyruvate metabolism
HMR_3857	(R)-S-lactoylglutathione[c] + H2O[c] => D-lactate[c] + GSH[c] + H+[c]	1000	0.0613863231556779	Pyruvate metabolism
HMR_3859	D-lactate[c] + 2 ferricytochrome C[m] => 2 ferrocytochrome C[m] + 2 H+[c] + pyruvate[c]	1000	0.0368750662212411	Pyruvate metabolism
HMR_4087	malate[m] + NAD+[m] => CO2[m] + NADH[m] + pyruvate[m]	1000	0.080873502017119	Pyruvate metabolism
HMR_4089	malate[c] + NADP+[c] => CO2[c] + NADPH[c] + pyruvate[c]	1000	0.121849090571867	Pyruvate metabolism
HMR_4091	malate[m] + NADP+[m] => CO2[m] + NADPH[m] + pyruvate[m]	1000	0.0770639817587717	Pyruvate metabolism
HMR_4093	acetyl-CoA[c] + H2O[c] => acetate[c] + CoA[c] + H+[c]	1000	0.147421267287332	Pyruvate metabolism
HMR_4095	acetyl-CoA[m] + H2O[m] => acetate[m] + CoA[m] + H+[m]	1000	0.172064838037057	Pyruvate metabolism
HMR_4101	GTP[c] + OAA[c] => CO2[c] + GDP[c] + PEP[c]	1000	0.132698117605173	Pyruvate metabolism
HMR_4103	GTP[m] + OAA[m] => CO2[m] + GDP[m] + PEP[m]	1000	0.104594804617705	Pyruvate metabolism
HMR_4143	ATP[m] + HCO3-[m] + pyruvate[m] => ADP[m] + H+[m] + OAA[m] + Pi[m]	1000	0.0740208533033622	Pyruvate metabolism
HMR_4193	CDP[c] + H+[c] + PEP[c] => CTP[c] + pyruvate[c]	1000	6.81686713014319	Pyruvate metabolism
HMR_8497	H+[c] + methylglyoxal[c] + NADPH[c] => hydroxyacetone[c] + NADP+[c]	1000	0.0992597248945704	Pyruvate metabolism
HMR_8498	acetone[c] + H+[c] + NADPH[c] + O2[c] => H2O[c] + hydroxyacetone[c] + NADP+[c]	981.821719518067	0.011558866127757	Pyruvate metabolism
HMR_8499	H+[c] + hydroxyacetone[c] + NADPH[c] + O2[c] => 2 H2O[c] + methylglyoxal[c] + NADP+[c]	996.997545789272	0.0992597246548723	Pyruvate metabolism
HMR_8500	H+[c] + hydroxyacetone[c] + NADPH[c] => NADP+[c] + propane-1,2-diol[c]	1000	0.0263224467888648	Pyruvate metabolism
HMR_8501	H+[c] + methylglyoxal[c] + NADPH[c] => D-lactaldehyde[c] + NADP+[c]	1000	0.0557635792891975	Pyruvate metabolism
HMR_8502	(R)-S-lactoylglutathione[c] + H+[c] + NADH[c] <=> D-lactaldehyde[c] + GSH[c] + NAD+[c]	2000	0.109344810260582	Pyruvate metabolism
HMR_8503	H2O[c] + lactaldehyde[c] + NAD+[c] => 2 H+[c] + L-lactate[c] + NADH[c]	1000	0.0497956508451076	Pyruvate metabolism
